iso_calendar_week,party,count
30,Democrat,5334
45,Democrat,9940
33,Non Partisan,10828
39,Non Partisan,19248
45,Non Partisan,13285
37,Republican,8731
41,Democrat,18083
39,Democrat,13814
53,Democrat,1574
42,Non Partisan,12286
39,Republican,11435
40,Non Partisan,26608
36,Republican,7149
43,Non Partisan,10847
50,Democrat,3364
36,Democrat,9234
38,Democrat,11522
35,Democrat,8276
40,Democrat,19116
27,Democrat,4636
33,Democrat,7221
16,Non Partisan,5750
9,Democrat,3204
28,Democrat,6208
30,Non Partisan,8525
5,Non Partisan,5344
22,Non Partisan,6178
26,Non Partisan,7567
29,Democrat,5190
34,Democrat,7803
17,Democrat,3660
4,Democrat,3054
51,Democrat,3308
32,Non Partisan,10203
36,Non Partisan,12717
22,Democrat,4205
43,Democrat,7401
38,Non Partisan,16270
21,Non Partisan,6526
41,Republican,15430
46,Non Partisan,5132
18,Non Partisan,6440
19,Republican,3722
37,Democrat,11250
37,Non Partisan,15312
9,Republican,3388
15,Democrat,3472
52,Non Partisan,4100
21,Republican,3794
19,Democrat,3830
19,Non Partisan,6384
49,Republican,3368
6,Democrat,3145
24,Democrat,4187
44,Non Partisan,11391
6,Non Partisan,5230
32,Republican,6089
35,Republican,7032
41,Non Partisan,27984
12,Democrat,2977
24,Non Partisan,6629
26,Republican,4908
28,Republican,5770
52,Republican,2644
24,Republican,4114
44,Republican,7737
35,Non Partisan,11832
8,Non Partisan,4763
31,Democrat,5774
9,Non Partisan,5464
11,Democrat,3040
10,Non Partisan,5401
4,Non Partisan,4978
2,Non Partisan,5435
20,Democrat,3605
48,Non Partisan,4852
34,Republican,6633
23,Republican,4066
13,Democrat,3291
27,Non Partisan,7127
13,Non Partisan,5526
16,Republican,3443
16,Democrat,3610
8,Democrat,2872
44,Democrat,7964
18,Republican,3633
31,Non Partisan,8955
42,Democrat,7781
1,Democrat,2814
34,Non Partisan,11306
48,Democrat,2741
40,Republican,16812
28,Non Partisan,8679
2,Democrat,3274
25,Non Partisan,7056
29,Non Partisan,8322
3,Republican,3296
20,Non Partisan,6035
26,Democrat,4936
30,Republican,5205
21,Democrat,3970
23,Democrat,3976
43,Republican,7348
17,Republican,3468
5,Democrat,3087
15,Non Partisan,5892
47,Non Partisan,5210
11,Republican,3384
14,Republican,3549
42,Republican,7019
8,Republican,2898
48,Republican,2882
38,Republican,9668
18,Democrat,3803
23,Non Partisan,6792
14,Non Partisan,5740
46,Democrat,3054
51,Non Partisan,5507
12,Non Partisan,5265
33,Republican,6424
49,Democrat,3471
22,Republican,3926
50,Non Partisan,5669
49,Non Partisan,5795
32,Democrat,6817
7,Republican,3209
2,Republican,3736
25,Democrat,4398
27,Republican,4574
17,Non Partisan,6127
52,Democrat,3119
10,Republican,3386
15,Republican,3467
13,Republican,3465
46,Republican,3119
47,Republican,2932
3,Non Partisan,4989
14,Democrat,3463
45,Republican,8889
29,Republican,4857
6,Republican,3533
31,Republican,5545
1,Non Partisan,4632
51,Republican,3374
7,Democrat,3034
50,Republican,3241
11,Non Partisan,5359
3,Democrat,2884
53,Non Partisan,1046
7,Non Partisan,5371
47,Democrat,3030
20,Republican,3793
1,Republican,3347
5,Republican,3597
25,Republican,4367
10,Democrat,3082
12,Republican,3270
4,Republican,3348
53,Republican,783
