iso_calendar_week,party,count
36,Non Partisan,403
13,Republican,775
5,Non Partisan,806
10,Republican,697
32,Republican,1019
13,Democrat,1482
13,Non Partisan,841
5,Republican,775
7,Republican,721
26,Non Partisan,1033
37,Republican,1986
23,Republican,845
28,Democrat,1702
17,Non Partisan,1235
5,Democrat,1347
4,Republican,590
9,Democrat,1579
33,Democrat,1966
39,Democrat,2008
37,Democrat,3649
20,Non Partisan,854
14,Non Partisan,773
23,Non Partisan,960
41,Republican,1311
41,Democrat,2803
12,Democrat,1445
23,Democrat,1715
14,Republican,717
30,Non Partisan,1187
4,Democrat,1117
21,Democrat,1470
44,Democrat,1485
17,Democrat,2256
30,Republican,1065
29,Republican,883
47,Non Partisan,759
19,Democrat,1592
28,Non Partisan,1032
22,Republican,653
31,Democrat,1745
38,Non Partisan,1117
12,Non Partisan,808
18,Non Partisan,964
32,Democrat,1757
3,Non Partisan,829
26,Democrat,1693
40,Republican,1240
6,Democrat,1336
11,Republican,750
53,Democrat,434
39,Republican,1024
40,Non Partisan,1250
25,Democrat,1640
31,Republican,943
50,Republican,687
1,Democrat,1236
2,Democrat,1646
33,Non Partisan,1118
26,Republican,847
48,Republican,646
10,Democrat,1404
24,Democrat,1650
40,Democrat,2406
46,Republican,774
8,Republican,664
21,Republican,796
11,Non Partisan,825
29,Democrat,1612
9,Republican,763
2,Republican,835
27,Non Partisan,805
24,Non Partisan,898
46,Democrat,1371
21,Non Partisan,840
11,Democrat,1513
39,Non Partisan,1176
30,Democrat,1825
2,Non Partisan,955
9,Non Partisan,804
7,Non Partisan,816
18,Democrat,1659
42,Non Partisan,507
6,Non Partisan,742
24,Republican,786
15,Non Partisan,774
18,Republican,822
52,Non Partisan,572
31,Non Partisan,1026
22,Democrat,1272
51,Republican,755
49,Democrat,1608
38,Republican,1083
25,Republican,808
8,Non Partisan,674
45,Republican,1609
14,Democrat,1351
3,Republican,727
37,Non Partisan,2020
12,Republican,791
25,Non Partisan,940
6,Republican,647
29,Non Partisan,1064
49,Non Partisan,937
27,Democrat,1388
17,Republican,1159
15,Republican,811
20,Democrat,1544
16,Democrat,1264
51,Democrat,1444
42,Republican,471
32,Non Partisan,1050
45,Non Partisan,1814
46,Non Partisan,845
1,Non Partisan,702
44,Republican,814
50,Democrat,1416
10,Non Partisan,783
41,Non Partisan,1395
52,Democrat,1052
4,Non Partisan,621
19,Republican,782
16,Non Partisan,700
50,Non Partisan,866
28,Republican,851
33,Republican,1118
48,Democrat,1177
34,Democrat,925
35,Non Partisan,543
16,Republican,678
43,Republican,454
7,Democrat,1464
20,Republican,743
51,Non Partisan,842
49,Republican,798
38,Democrat,2113
3,Democrat,1370
22,Non Partisan,731
15,Democrat,1474
53,Republican,233
27,Republican,669
35,Democrat,925
52,Republican,491
43,Democrat,900
48,Non Partisan,727
47,Democrat,1330
45,Democrat,3178
19,Non Partisan,909
43,Non Partisan,497
8,Democrat,1339
1,Republican,628
36,Republican,384
34,Republican,485
34,Non Partisan,576
35,Republican,455
42,Democrat,809
36,Democrat,749
44,Non Partisan,776
53,Non Partisan,239
47,Republican,705
