iso_calendar_week,party,count
44,Republican,5752
12,Republican,1642
28,Non Partisan,3700
45,Republican,15988
25,Republican,2155
15,Non Partisan,2890
35,Non Partisan,4936
34,Non Partisan,4792
35,Republican,2648
40,Republican,4087
13,Non Partisan,2878
3,Non Partisan,2393
41,Republican,4698
38,Democrat,4195
48,Non Partisan,2600
38,Non Partisan,5838
9,Democrat,1421
37,Non Partisan,7535
24,Democrat,1776
13,Republican,1539
1,Republican,2101
43,Non Partisan,11164
17,Republican,1611
9,Non Partisan,2784
34,Republican,2777
26,Non Partisan,3944
21,Republican,2101
42,Non Partisan,9274
45,Non Partisan,32297
46,Non Partisan,3651
1,Non Partisan,2794
51,Democrat,1359
46,Republican,2186
41,Non Partisan,7674
51,Non Partisan,2805
28,Democrat,1972
32,Non Partisan,4275
44,Democrat,5162
23,Non Partisan,3527
2,Republican,2133
39,Non Partisan,6653
33,Republican,2522
32,Democrat,2292
5,Democrat,1245
30,Non Partisan,3632
24,Republican,2012
36,Republican,2543
46,Democrat,2023
36,Democrat,3486
48,Republican,1423
15,Republican,1529
30,Republican,2183
2,Non Partisan,2566
47,Non Partisan,2920
4,Republican,1904
16,Non Partisan,2744
10,Non Partisan,3150
42,Republican,5641
22,Republican,1781
28,Republican,2152
20,Non Partisan,2822
22,Non Partisan,2886
19,Republican,1704
52,Non Partisan,2338
18,Non Partisan,2720
7,Democrat,1394
45,Democrat,16943
29,Non Partisan,3588
38,Republican,3178
11,Republican,1703
8,Non Partisan,2509
24,Non Partisan,3320
12,Non Partisan,2898
31,Non Partisan,4168
50,Republican,1713
49,Republican,1967
25,Non Partisan,3747
27,Non Partisan,3172
18,Democrat,1504
21,Non Partisan,3070
44,Non Partisan,7921
49,Democrat,1606
17,Non Partisan,2716
21,Democrat,1839
39,Democrat,5012
37,Democrat,4702
14,Democrat,1393
14,Non Partisan,3027
37,Republican,3919
43,Republican,6131
26,Republican,2316
34,Democrat,3051
50,Non Partisan,2701
42,Democrat,6508
40,Democrat,4969
14,Republican,1732
17,Democrat,1465
52,Republican,1473
40,Non Partisan,7075
13,Democrat,1262
49,Non Partisan,3411
29,Republican,2033
7,Non Partisan,2688
8,Democrat,1267
23,Democrat,2535
6,Non Partisan,2939
30,Democrat,2176
33,Non Partisan,4280
11,Non Partisan,2965
6,Democrat,1463
7,Republican,1375
2,Democrat,1365
47,Democrat,1585
36,Non Partisan,4462
9,Republican,1591
20,Republican,1856
6,Republican,1558
41,Democrat,5241
19,Non Partisan,2746
32,Republican,2503
51,Republican,1759
27,Republican,1822
8,Republican,1479
43,Democrat,7554
5,Republican,1452
47,Republican,1777
18,Republican,1669
33,Democrat,2676
39,Republican,3711
26,Democrat,2045
5,Non Partisan,2548
31,Democrat,2358
52,Democrat,1077
12,Democrat,1493
1,Democrat,1374
23,Republican,4186
27,Democrat,1695
31,Republican,2449
20,Democrat,1673
16,Republican,1513
4,Non Partisan,2637
10,Democrat,1653
48,Democrat,1231
11,Democrat,1472
22,Democrat,1538
3,Republican,1835
50,Democrat,1434
25,Democrat,1928
35,Democrat,3455
19,Democrat,1562
16,Democrat,1413
53,Republican,583
15,Democrat,1416
29,Democrat,1866
4,Democrat,1348
53,Non Partisan,891
10,Republican,1741
3,Democrat,1194
53,Democrat,464
