iso_calendar_week,party,count
45,Non Partisan,43245
36,Republican,2196
38,Democrat,818
44,Republican,8857
45,Republican,49369
44,Non Partisan,11215
43,Republican,2486
45,Democrat,17232
35,Democrat,833
21,Republican,11806
26,Republican,774
10,Republican,8800
37,Democrat,620
20,Republican,6356
20,Democrat,753
15,Non Partisan,820
15,Republican,948
2,Republican,646
11,Republican,5686
31,Republican,1312
41,Republican,5543
40,Republican,3231
39,Non Partisan,2065
5,Republican,810
42,Non Partisan,1191
8,Republican,714
32,Republican,1017
36,Non Partisan,1470
49,Non Partisan,488
43,Non Partisan,2090
5,Non Partisan,472
12,Non Partisan,580
4,Republican,734
21,Non Partisan,4567
33,Republican,1036
41,Non Partisan,5670
7,Republican,1737
38,Republican,1621
11,Democrat,1230
12,Democrat,203
39,Republican,2136
11,Non Partisan,4204
1,Non Partisan,304
14,Non Partisan,513
35,Republican,2457
47,Republican,693
33,Non Partisan,970
9,Republican,1206
48,Non Partisan,453
44,Democrat,1831
28,Republican,692
6,Republican,877
23,Non Partisan,666
49,Republican,648
40,Non Partisan,3295
8,Non Partisan,319
41,Democrat,2416
31,Democrat,375
38,Non Partisan,1616
34,Republican,1180
20,Non Partisan,2622
12,Republican,751
7,Non Partisan,578
50,Non Partisan,381
35,Non Partisan,2243
1,Republican,508
39,Democrat,991
24,Republican,629
19,Republican,844
37,Non Partisan,1304
33,Democrat,401
14,Republican,827
15,Democrat,193
26,Non Partisan,729
23,Republican,708
2,Democrat,141
13,Non Partisan,525
37,Republican,1564
17,Republican,1152
10,Non Partisan,1889
25,Non Partisan,878
14,Democrat,186
42,Republican,1487
34,Democrat,461
51,Republican,560
17,Non Partisan,1040
27,Non Partisan,628
40,Democrat,1389
31,Non Partisan,1145
34,Non Partisan,1057
36,Democrat,733
16,Republican,1017
22,Non Partisan,507
18,Non Partisan,471
3,Democrat,125
10,Democrat,243
28,Non Partisan,778
52,Non Partisan,247
3,Non Partisan,359
25,Democrat,237
26,Democrat,243
30,Democrat,267
50,Republican,773
46,Republican,844
3,Republican,560
27,Republican,591
51,Democrat,150
52,Republican,424
51,Non Partisan,351
30,Non Partisan,616
48,Republican,616
29,Non Partisan,656
19,Non Partisan,521
30,Republican,764
9,Non Partisan,567
42,Democrat,468
28,Democrat,281
27,Democrat,166
29,Republican,655
18,Republican,644
32,Non Partisan,709
22,Republican,685
25,Republican,929
6,Non Partisan,524
2,Non Partisan,369
16,Democrat,259
21,Democrat,1292
18,Democrat,161
16,Non Partisan,780
19,Democrat,174
24,Non Partisan,598
50,Democrat,155
7,Democrat,222
29,Democrat,247
43,Democrat,857
24,Democrat,185
47,Non Partisan,659
4,Non Partisan,347
46,Non Partisan,647
13,Republican,701
46,Democrat,181
53,Republican,133
23,Democrat,148
8,Democrat,116
32,Democrat,295
49,Democrat,159
4,Democrat,112
13,Democrat,169
6,Democrat,150
17,Democrat,268
5,Democrat,128
53,Non Partisan,115
9,Democrat,157
52,Democrat,91
22,Democrat,158
47,Democrat,216
48,Democrat,139
1,Democrat,106
53,Democrat,41
