iso_calendar_week,party,count
51,Republican,1377
9,Non Partisan,10554
34,Non Partisan,17695
33,Non Partisan,22168
22,Democrat,5776
21,Non Partisan,11527
22,Republican,1708
52,Republican,1547
41,Republican,5708
42,Democrat,29636
23,Non Partisan,12723
24,Non Partisan,12431
37,Democrat,12879
12,Democrat,6411
9,Republican,2024
32,Non Partisan,16798
25,Republican,2100
47,Non Partisan,9052
2,Non Partisan,11127
39,Republican,4564
41,Non Partisan,32701
45,Non Partisan,11886
43,Republican,1698
11,Republican,2238
44,Republican,1801
40,Republican,4861
39,Non Partisan,25917
42,Non Partisan,45606
20,Democrat,6729
20,Non Partisan,11544
28,Non Partisan,12562
53,Non Partisan,1890
18,Non Partisan,11316
19,Non Partisan,10830
7,Non Partisan,13065
48,Non Partisan,6669
33,Democrat,13614
42,Republican,7336
45,Democrat,7924
15,Non Partisan,12152
8,Non Partisan,9105
30,Non Partisan,13433
30,Republican,2454
3,Republican,2360
4,Non Partisan,9607
37,Non Partisan,18435
29,Republican,2309
23,Republican,2152
34,Republican,3270
5,Non Partisan,10698
8,Democrat,5523
40,Democrat,18386
22,Non Partisan,9468
6,Non Partisan,11723
46,Non Partisan,8671
44,Non Partisan,8903
30,Democrat,8477
18,Republican,2107
47,Republican,1691
27,Republican,2026
34,Democrat,11216
25,Non Partisan,12323
35,Non Partisan,15903
5,Republican,2126
6,Republican,2326
46,Democrat,5015
11,Non Partisan,12212
37,Republican,3344
21,Democrat,6744
31,Republican,2705
31,Non Partisan,14982
52,Non Partisan,7888
36,Non Partisan,15764
14,Non Partisan,11324
27,Non Partisan,11266
39,Democrat,17611
2,Republican,2366
38,Non Partisan,21398
41,Democrat,20287
10,Democrat,6854
32,Democrat,10659
5,Democrat,6216
29,Democrat,7782
9,Democrat,6233
32,Republican,3052
8,Republican,1739
17,Democrat,5992
13,Democrat,6190
47,Democrat,5165
35,Democrat,10494
16,Non Partisan,10253
18,Democrat,6646
24,Democrat,7295
24,Republican,2121
7,Democrat,7298
21,Republican,2014
33,Republican,3962
16,Democrat,5728
1,Non Partisan,8381
12,Non Partisan,11580
44,Democrat,5396
17,Republican,1965
4,Democrat,5449
26,Democrat,8251
43,Non Partisan,8564
29,Non Partisan,12662
2,Democrat,6055
48,Democrat,4009
28,Republican,2373
10,Non Partisan,11719
12,Republican,2130
40,Non Partisan,28027
14,Republican,2234
50,Non Partisan,6833
25,Democrat,7287
3,Non Partisan,11084
23,Democrat,7674
6,Democrat,6600
13,Non Partisan,10683
38,Democrat,14714
35,Republican,2983
49,Democrat,4348
38,Republican,3947
31,Democrat,9445
15,Democrat,7015
26,Non Partisan,13322
28,Democrat,7953
17,Non Partisan,9888
48,Republican,1331
7,Republican,2759
20,Republican,2111
1,Democrat,4739
53,Democrat,896
1,Republican,1795
51,Non Partisan,6899
27,Democrat,6958
49,Non Partisan,7185
50,Democrat,4087
10,Republican,2231
36,Democrat,11241
11,Democrat,6595
16,Republican,1899
52,Democrat,3990
50,Republican,1350
19,Democrat,6513
13,Republican,2059
14,Democrat,6776
46,Republican,1695
19,Republican,1995
43,Democrat,5173
4,Republican,1995
15,Republican,2175
51,Democrat,3944
3,Democrat,6021
49,Republican,1368
45,Republican,2357
36,Republican,2931
26,Republican,2300
53,Republican,474
