iso_calendar_week,party,count
18,Non Partisan,1125
27,Non Partisan,3590
40,Non Partisan,26485
18,Republican,828
40,Republican,8097
40,Democrat,13640
27,Republican,1970
39,Republican,2756
39,Non Partisan,3877
27,Democrat,2076
39,Democrat,2507
22,Republican,26
11,Non Partisan,279
16,Non Partisan,150
18,Democrat,673
13,Democrat,126
11,Democrat,65
11,Republican,159
22,Non Partisan,26
19,Democrat,679
22,Democrat,56
16,Democrat,139
7,Democrat,93
7,Non Partisan,60
7,Republican,75
16,Republican,128
51,Non Partisan,3
13,Non Partisan,46
13,Republican,46
24,Non Partisan,16
24,Republican,6
10,Democrat,39
24,Democrat,7
31,Non Partisan,14
31,Republican,4
33,Non Partisan,4
33,Republican,1
10,Non Partisan,63
10,Republican,64
19,Republican,656
19,Non Partisan,1770
32,Non Partisan,568
32,Democrat,363
32,Republican,217
6,Democrat,64
6,Republican,30
6,Non Partisan,37
36,Republican,8
36,Non Partisan,8
45,Republican,107
45,Non Partisan,218
45,Democrat,80
