iso_calendar_week,party,count
22,Democrat,11940
40,Non Partisan,51388
49,Democrat,1550
40,Republican,12900
22,Non Partisan,38527
39,Non Partisan,11926
32,Democrat,2941
22,Republican,7709
40,Democrat,17559
49,Republican,7848
49,Non Partisan,8099
39,Republican,6381
25,Non Partisan,3394
32,Non Partisan,4487
32,Republican,6037
39,Democrat,4664
25,Democrat,787
25,Republican,725
2,Republican,297
5,Non Partisan,119
5,Democrat,32
33,Non Partisan,19
5,Republican,30
50,Non Partisan,38
53,Democrat,8
53,Non Partisan,12
53,Republican,7
27,Non Partisan,35
33,Democrat,9
15,Non Partisan,19
2,Non Partisan,1149
3,Non Partisan,2
50,Republican,49
15,Democrat,9
7,Non Partisan,10
2,Democrat,227
46,Democrat,7
50,Democrat,14
15,Republican,3
33,Republican,8
7,Democrat,1
46,Non Partisan,4
7,Republican,2
46,Republican,1
18,Non Partisan,7
35,Democrat,3
35,Non Partisan,3
35,Republican,1
31,Republican,4
45,Republican,11
45,Non Partisan,15
31,Non Partisan,5
18,Republican,4
27,Republican,13
45,Democrat,1
27,Democrat,17
18,Democrat,2
6,Non Partisan,243
51,Non Partisan,26
51,Republican,29
51,Democrat,13
6,Democrat,31
6,Republican,46
34,Non Partisan,1388
34,Republican,589
34,Democrat,422
30,Non Partisan,2555
30,Republican,519
30,Democrat,466
16,Democrat,3
16,Non Partisan,10
16,Republican,5
13,Republican,1
9,Republican,3
13,Non Partisan,3
23,Republican,2
23,Non Partisan,5
31,Democrat,1
13,Democrat,1
