iso_calendar_week,party,count
33,Non Partisan,16806
28,Non Partisan,15641
8,Non Partisan,10872
31,Democrat,4691
30,Republican,2725
20,Republican,3546
41,Non Partisan,44805
4,Non Partisan,10786
48,Non Partisan,12318
13,Non Partisan,18718
30,Non Partisan,17164
24,Non Partisan,15421
23,Non Partisan,14011
32,Republican,2945
33,Republican,3033
36,Non Partisan,18732
40,Republican,5323
42,Non Partisan,67019
6,Non Partisan,10130
3,Non Partisan,11443
45,Democrat,14163
31,Republican,2765
25,Non Partisan,16588
10,Non Partisan,13212
35,Non Partisan,19783
17,Non Partisan,18207
40,Non Partisan,32953
15,Non Partisan,13656
41,Republican,7248
35,Democrat,5820
22,Non Partisan,12749
5,Non Partisan,11983
12,Non Partisan,16222
38,Non Partisan,23758
49,Non Partisan,13127
39,Democrat,9853
51,Republican,1656
5,Republican,2045
44,Republican,2583
18,Non Partisan,13841
43,Non Partisan,13350
32,Non Partisan,16741
29,Non Partisan,14208
31,Non Partisan,16705
26,Non Partisan,16513
41,Democrat,14781
42,Republican,9839
24,Democrat,4834
42,Democrat,23541
11,Republican,2463
45,Non Partisan,22621
14,Non Partisan,17322
34,Democrat,5427
20,Non Partisan,19467
21,Non Partisan,11676
4,Democrat,3152
32,Democrat,5166
37,Republican,3552
18,Republican,2420
39,Non Partisan,31389
7,Non Partisan,10548
38,Democrat,7961
20,Democrat,8253
50,Non Partisan,11992
37,Non Partisan,21448
14,Republican,2977
49,Republican,2223
8,Republican,1847
12,Republican,2574
26,Republican,2541
3,Democrat,3226
15,Republican,2390
44,Democrat,4706
36,Republican,3328
39,Republican,4548
16,Democrat,5401
8,Democrat,3273
1,Non Partisan,11513
30,Democrat,4867
21,Republican,1755
47,Non Partisan,13293
16,Non Partisan,16130
35,Republican,3329
28,Republican,2656
23,Democrat,5078
44,Non Partisan,13661
38,Republican,3965
13,Republican,3069
51,Non Partisan,10488
27,Republican,2294
46,Non Partisan,13877
10,Democrat,4110
27,Non Partisan,13883
2,Non Partisan,11955
2,Republican,2081
40,Democrat,11301
22,Democrat,3473
16,Republican,2495
34,Non Partisan,17978
48,Republican,1997
17,Democrat,5314
10,Republican,2175
29,Republican,2457
46,Republican,2536
11,Democrat,4308
11,Non Partisan,14302
45,Republican,5716
5,Democrat,3393
1,Democrat,3326
33,Democrat,5358
43,Democrat,4089
19,Non Partisan,13993
6,Republican,1766
14,Democrat,5415
7,Democrat,3150
25,Democrat,4901
9,Democrat,3881
9,Non Partisan,14062
49,Democrat,3567
17,Republican,2550
1,Republican,2021
7,Republican,1860
4,Republican,1918
51,Democrat,2678
18,Democrat,4343
28,Democrat,4583
13,Democrat,5581
26,Democrat,4723
29,Democrat,4629
37,Democrat,7426
12,Democrat,4931
15,Democrat,4905
46,Democrat,4166
21,Democrat,3288
48,Democrat,3408
19,Democrat,5102
43,Republican,2164
36,Democrat,5847
52,Non Partisan,9647
50,Democrat,3081
6,Democrat,3027
2,Democrat,3322
50,Republican,1916
22,Republican,1962
19,Republican,2559
23,Republican,2764
25,Republican,2858
47,Democrat,3649
27,Democrat,4123
52,Democrat,2422
9,Republican,2149
3,Republican,2049
34,Republican,3192
24,Republican,2829
53,Democrat,887
47,Republican,2232
53,Republican,636
53,Non Partisan,3665
52,Republican,1553
