iso_calendar_week,party,count
33,Democrat,2151
10,Democrat,1356
14,Democrat,1189
13,Democrat,1347
22,Republican,400
16,Democrat,1758
52,Democrat,948
45,Republican,1107
41,Republican,5833
17,Democrat,1994
48,Democrat,2459
50,Democrat,2129
19,Democrat,2500
41,Democrat,7845
25,Republican,1326
50,Republican,1365
40,Republican,4814
43,Democrat,1207
28,Republican,1283
26,Democrat,2226
38,Republican,2464
36,Republican,1590
19,Republican,1603
25,Democrat,2182
39,Democrat,4321
37,Republican,2104
34,Democrat,2018
7,Democrat,1816
32,Republican,1385
40,Democrat,6546
2,Democrat,1696
29,Republican,1172
48,Republican,1494
18,Republican,1526
27,Democrat,1273
28,Democrat,1802
6,Republican,1790
43,Republican,816
6,Democrat,2723
11,Republican,1194
13,Republican,882
42,Democrat,1125
24,Democrat,2110
52,Republican,689
15,Republican,1037
18,Democrat,2657
3,Democrat,616
35,Democrat,2136
24,Republican,1659
27,Republican,883
4,Republican,560
46,Republican,1474
38,Democrat,3522
31,Democrat,1565
32,Democrat,1893
34,Republican,1620
36,Democrat,2220
17,Republican,1086
30,Republican,1398
29,Democrat,1516
21,Republican,455
7,Republican,1116
44,Democrat,1043
35,Republican,1733
26,Republican,1348
49,Democrat,2099
37,Democrat,3054
31,Republican,1256
33,Republican,1833
11,Democrat,1871
30,Democrat,1827
47,Republican,1411
12,Democrat,1367
10,Republican,1078
15,Democrat,1540
47,Democrat,1930
39,Republican,3149
1,Republican,1020
42,Republican,802
5,Democrat,1336
23,Democrat,1205
20,Democrat,691
1,Democrat,1344
20,Republican,465
51,Republican,910
16,Republican,1208
14,Republican,868
23,Republican,1032
2,Republican,1289
5,Republican,907
44,Republican,699
8,Republican,634
9,Democrat,957
46,Democrat,1993
8,Democrat,974
45,Democrat,1630
49,Republican,1341
4,Democrat,819
21,Democrat,782
51,Democrat,1555
22,Democrat,609
9,Republican,640
3,Republican,409
12,Republican,878
53,Democrat,363
53,Republican,256
