iso_calendar_week,party,count
13,Republican,2421
13,Democrat,1642
35,Republican,5706
19,Non Partisan,1535
7,Democrat,3420
29,Democrat,2282
41,Republican,13043
9,Republican,2195
46,Republican,5733
41,Democrat,9429
31,Democrat,3116
21,Republican,2112
15,Republican,3232
15,Democrat,2551
1,Republican,2234
23,Democrat,2312
24,Democrat,1952
45,Republican,4913
42,Republican,13920
28,Democrat,2751
15,Non Partisan,1930
14,Republican,3677
46,Democrat,4398
10,Republican,4283
42,Democrat,10383
2,Democrat,1547
7,Republican,5061
14,Democrat,2657
45,Democrat,3434
21,Democrat,1820
17,Republican,2230
1,Democrat,1632
39,Non Partisan,3467
40,Democrat,6223
37,Democrat,4974
21,Non Partisan,1211
22,Republican,3149
24,Non Partisan,1649
35,Democrat,3933
23,Republican,3147
19,Democrat,1883
39,Democrat,5089
13,Non Partisan,1341
22,Democrat,2326
27,Democrat,2452
20,Non Partisan,1700
16,Republican,2710
46,Non Partisan,3581
18,Democrat,1877
48,Republican,2895
31,Republican,4133
8,Democrat,2149
8,Non Partisan,1663
16,Democrat,2034
43,Republican,7772
3,Non Partisan,1832
4,Republican,2917
32,Democrat,2504
39,Republican,7210
4,Democrat,1904
3,Republican,3539
7,Non Partisan,2409
8,Republican,3103
6,Republican,1890
17,Democrat,1749
25,Non Partisan,1029
45,Non Partisan,2677
50,Republican,4143
4,Non Partisan,1406
30,Democrat,2837
3,Democrat,2533
27,Non Partisan,1521
9,Non Partisan,1233
30,Republican,3690
30,Non Partisan,2317
38,Democrat,4501
34,Republican,3519
52,Democrat,1187
37,Republican,6945
24,Republican,2594
36,Non Partisan,2558
20,Republican,2643
38,Non Partisan,3238
25,Democrat,1442
20,Democrat,2272
40,Republican,8775
12,Democrat,1921
47,Democrat,2739
27,Republican,3250
9,Democrat,1707
11,Republican,3621
26,Democrat,3470
38,Republican,5916
50,Democrat,2785
25,Republican,1735
29,Non Partisan,1852
26,Republican,4504
11,Democrat,2631
31,Non Partisan,2601
6,Democrat,1388
35,Non Partisan,3138
43,Democrat,5287
29,Republican,2969
41,Non Partisan,5904
1,Non Partisan,1303
28,Republican,4205
11,Non Partisan,1942
47,Republican,4259
2,Non Partisan,1262
16,Non Partisan,1628
32,Republican,3520
18,Republican,2422
51,Democrat,1922
32,Non Partisan,1893
33,Non Partisan,2011
10,Democrat,3349
17,Non Partisan,1299
23,Non Partisan,1659
28,Non Partisan,2062
18,Non Partisan,1468
51,Non Partisan,1858
36,Democrat,3189
2,Republican,2265
36,Republican,4646
26,Non Partisan,2494
42,Non Partisan,6736
10,Non Partisan,2071
19,Republican,2446
33,Republican,3411
14,Non Partisan,1843
50,Non Partisan,2553
52,Non Partisan,1093
12,Non Partisan,1315
40,Non Partisan,3775
37,Non Partisan,3477
43,Non Partisan,4181
33,Democrat,2384
49,Democrat,2359
52,Republican,1868
44,Republican,2778
48,Democrat,1889
51,Republican,2988
22,Non Partisan,1613
44,Democrat,1921
34,Non Partisan,1645
53,Republican,853
49,Republican,3513
47,Non Partisan,2474
12,Republican,2568
5,Democrat,1225
48,Non Partisan,1502
6,Non Partisan,1019
5,Non Partisan,1009
34,Democrat,2146
53,Democrat,465
44,Non Partisan,1660
5,Republican,1781
49,Non Partisan,2168
53,Non Partisan,550
