iso_calendar_week,party,count
24,Non Partisan,5392
10,Democrat,6646
37,Non Partisan,11439
53,Republican,1730
19,Republican,10007
31,Democrat,8640
44,Non Partisan,12026
30,Non Partisan,5331
11,Republican,4776
16,Republican,5042
46,Non Partisan,5568
42,Non Partisan,19134
31,Republican,5842
45,Democrat,19193
30,Democrat,6020
8,Republican,4023
11,Non Partisan,4668
17,Republican,6154
2,Republican,5154
45,Republican,12301
30,Republican,4214
41,Republican,14111
28,Democrat,10569
41,Non Partisan,16976
23,Republican,4735
26,Republican,5765
17,Non Partisan,5006
37,Democrat,15100
25,Republican,7889
42,Republican,14658
32,Non Partisan,7779
43,Republican,10186
25,Non Partisan,9213
41,Democrat,19614
21,Democrat,19723
34,Republican,5465
43,Non Partisan,10170
15,Republican,6457
43,Democrat,12278
4,Non Partisan,4826
36,Republican,7269
36,Non Partisan,8203
31,Non Partisan,6922
21,Republican,10003
2,Democrat,6394
48,Non Partisan,9765
13,Non Partisan,4086
17,Democrat,6120
33,Republican,8240
39,Republican,7913
40,Democrat,19148
39,Democrat,12969
20,Republican,9784
44,Republican,10239
33,Non Partisan,9669
9,Non Partisan,6243
50,Non Partisan,7572
37,Republican,10062
46,Republican,5702
38,Non Partisan,8227
50,Republican,6648
13,Republican,3724
10,Republican,5417
52,Non Partisan,6115
35,Republican,6642
22,Democrat,5917
38,Democrat,10415
47,Republican,6598
38,Republican,6924
9,Democrat,6982
42,Democrat,20672
12,Republican,5823
40,Republican,12439
48,Democrat,11826
46,Democrat,7256
11,Democrat,5269
33,Democrat,13099
24,Republican,5081
28,Non Partisan,8943
27,Republican,3837
1,Non Partisan,6442
51,Republican,4893
9,Republican,5972
22,Republican,4592
52,Republican,5571
19,Democrat,11564
32,Republican,6788
44,Democrat,14203
18,Republican,6580
32,Democrat,9639
36,Democrat,10639
3,Republican,3832
7,Non Partisan,4749
19,Non Partisan,10096
20,Democrat,14258
48,Republican,8069
8,Democrat,5194
4,Republican,4315
1,Republican,5607
26,Non Partisan,6336
3,Democrat,4731
21,Non Partisan,15935
50,Democrat,9307
49,Republican,5758
49,Democrat,7511
8,Non Partisan,4102
29,Democrat,6433
5,Democrat,5187
27,Democrat,5475
18,Non Partisan,6027
10,Non Partisan,5846
24,Democrat,6040
5,Republican,4090
26,Democrat,7895
27,Non Partisan,4891
45,Non Partisan,16516
6,Republican,3077
40,Non Partisan,16834
18,Democrat,7202
14,Republican,4247
47,Non Partisan,7374
7,Republican,4454
25,Democrat,10764
49,Non Partisan,6355
5,Non Partisan,4504
23,Democrat,6103
35,Non Partisan,7058
22,Non Partisan,4573
3,Non Partisan,4403
29,Republican,4509
28,Republican,7809
20,Non Partisan,11942
16,Non Partisan,4832
2,Non Partisan,5443
12,Democrat,10177
51,Democrat,6035
51,Non Partisan,5113
6,Non Partisan,2994
15,Non Partisan,7636
6,Democrat,3260
34,Non Partisan,6347
14,Democrat,5517
23,Non Partisan,5152
29,Non Partisan,6273
7,Democrat,5189
15,Democrat,8507
12,Non Partisan,8035
39,Non Partisan,11621
4,Democrat,6193
35,Democrat,8736
1,Democrat,7943
14,Non Partisan,5288
52,Democrat,7809
53,Democrat,2893
47,Democrat,8942
13,Democrat,4403
53,Non Partisan,1978
16,Democrat,5449
34,Democrat,8489
