iso_calendar_week,party,count
3,Democrat,880
16,Republican,1685
21,Democrat,1001
35,Democrat,1012
37,Democrat,1376
28,Democrat,857
11,Republican,1682
22,Republican,1238
34,Democrat,1073
23,Republican,2986
18,Republican,1900
40,Republican,3462
45,Republican,5174
16,Non Partisan,319
47,Republican,4151
37,Republican,2204
43,Republican,4034
48,Republican,1948
38,Republican,2170
33,Democrat,1028
46,Republican,2083
45,Democrat,3352
21,Republican,1981
20,Republican,2516
17,Republican,1859
39,Republican,3279
49,Republican,1517
42,Republican,5289
24,Democrat,942
24,Republican,1657
42,Democrat,3911
26,Republican,1781
32,Democrat,883
40,Democrat,2529
6,Republican,1373
44,Democrat,2471
13,Democrat,959
2,Democrat,1029
30,Republican,1537
7,Republican,1824
11,Democrat,1036
14,Democrat,731
38,Democrat,1491
43,Democrat,3424
34,Republican,1822
15,Non Partisan,317
53,Republican,574
16,Democrat,969
50,Republican,2179
42,Non Partisan,737
44,Republican,3673
13,Republican,1649
3,Republican,1739
9,Republican,1740
32,Republican,1352
35,Republican,1748
41,Republican,3539
47,Democrat,3733
12,Democrat,963
18,Democrat,1028
5,Republican,1414
36,Republican,1806
26,Democrat,1099
52,Democrat,1407
52,Republican,1764
14,Republican,1225
36,Democrat,1041
41,Democrat,2382
12,Republican,1729
20,Democrat,1138
30,Democrat,898
22,Democrat,674
25,Democrat,911
51,Democrat,1736
48,Democrat,1543
46,Non Partisan,340
19,Non Partisan,222
15,Democrat,1080
17,Non Partisan,261
8,Democrat,1215
4,Non Partisan,657
6,Democrat,1114
27,Democrat,936
4,Democrat,718
2,Republican,1495
31,Republican,1528
46,Democrat,1470
25,Republican,1630
51,Republican,2244
5,Democrat,693
15,Republican,1777
33,Republican,1689
10,Democrat,921
1,Republican,1084
27,Republican,1442
31,Democrat,868
49,Democrat,1137
9,Democrat,1101
10,Republican,1556
23,Democrat,1501
50,Democrat,1807
8,Non Partisan,225
1,Democrat,678
6,Non Partisan,183
19,Republican,1705
28,Republican,1375
39,Democrat,2123
29,Democrat,1473
19,Democrat,875
39,Non Partisan,492
8,Republican,2165
29,Republican,1976
2,Non Partisan,194
17,Democrat,950
18,Non Partisan,223
7,Democrat,943
23,Non Partisan,342
37,Non Partisan,368
28,Non Partisan,246
33,Non Partisan,322
45,Non Partisan,968
4,Republican,1374
9,Non Partisan,219
44,Non Partisan,560
36,Non Partisan,408
24,Non Partisan,242
12,Non Partisan,248
53,Democrat,520
47,Non Partisan,569
32,Non Partisan,309
13,Non Partisan,255
38,Non Partisan,522
14,Non Partisan,229
43,Non Partisan,749
31,Non Partisan,297
49,Non Partisan,304
29,Non Partisan,298
50,Non Partisan,453
30,Non Partisan,332
7,Non Partisan,239
10,Non Partisan,297
52,Non Partisan,220
26,Non Partisan,248
34,Non Partisan,372
51,Non Partisan,360
35,Non Partisan,293
21,Non Partisan,214
22,Non Partisan,194
20,Non Partisan,242
48,Non Partisan,370
27,Non Partisan,293
3,Non Partisan,253
5,Non Partisan,203
40,Non Partisan,465
41,Non Partisan,473
25,Non Partisan,223
1,Non Partisan,133
11,Non Partisan,257
53,Non Partisan,89
