iso_calendar_week,party,count
22,Republican,129
45,Republican,5444
34,Republican,3200
33,Republican,2076
30,Democrat,58
15,Democrat,22
41,Republican,402
45,Non Partisan,2643
19,Democrat,70
40,Non Partisan,185
26,Non Partisan,61
42,Non Partisan,258
45,Democrat,1694
10,Republican,94
42,Democrat,212
31,Democrat,79
35,Non Partisan,95
43,Republican,615
44,Democrat,472
40,Democrat,122
39,Republican,369
32,Democrat,81
44,Republican,1816
29,Republican,309
4,Republican,70
34,Democrat,645
8,Republican,93
21,Democrat,34
13,Democrat,25
19,Non Partisan,130
14,Non Partisan,41
38,Democrat,116
33,Democrat,285
18,Non Partisan,60
48,Republican,47
47,Democrat,20
36,Democrat,62
38,Non Partisan,124
7,Democrat,12
44,Non Partisan,657
30,Non Partisan,61
43,Non Partisan,283
30,Republican,252
27,Republican,179
16,Non Partisan,39
42,Republican,620
13,Republican,90
40,Republican,402
17,Democrat,35
18,Democrat,41
6,Republican,82
31,Republican,361
26,Republican,173
18,Republican,174
24,Republican,132
28,Democrat,90
27,Non Partisan,38
1,Democrat,23
1,Non Partisan,26
22,Democrat,33
41,Democrat,130
39,Non Partisan,178
43,Democrat,196
10,Democrat,35
32,Non Partisan,91
35,Republican,198
28,Non Partisan,79
32,Republican,429
36,Republican,211
37,Democrat,78
17,Republican,130
12,Democrat,21
39,Democrat,106
25,Non Partisan,45
25,Democrat,27
11,Democrat,19
21,Republican,173
33,Non Partisan,205
29,Non Partisan,74
14,Democrat,32
38,Republican,258
31,Non Partisan,86
2,Republican,82
12,Republican,99
25,Republican,141
27,Democrat,43
34,Non Partisan,337
37,Republican,209
20,Democrat,42
37,Non Partisan,95
19,Republican,332
20,Non Partisan,41
17,Non Partisan,44
36,Non Partisan,74
21,Non Partisan,52
24,Non Partisan,62
26,Democrat,39
20,Republican,186
35,Democrat,73
4,Democrat,16
15,Republican,127
23,Democrat,31
41,Non Partisan,195
11,Non Partisan,22
49,Republican,66
48,Non Partisan,31
10,Non Partisan,23
16,Democrat,19
12,Non Partisan,42
9,Republican,86
14,Republican,81
29,Democrat,62
13,Non Partisan,27
28,Republican,304
2,Democrat,18
4,Non Partisan,24
16,Republican,89
5,Non Partisan,35
5,Democrat,17
46,Republican,214
15,Non Partisan,40
11,Republican,108
49,Non Partisan,41
52,Republican,109
5,Republican,89
3,Democrat,24
46,Democrat,94
6,Non Partisan,24
24,Democrat,32
7,Non Partisan,26
23,Republican,158
7,Republican,105
1,Republican,63
23,Non Partisan,41
50,Non Partisan,45
46,Non Partisan,102
50,Republican,78
3,Republican,69
22,Non Partisan,41
49,Democrat,28
2,Non Partisan,27
47,Republican,79
53,Non Partisan,14
8,Democrat,21
8,Non Partisan,31
6,Democrat,15
9,Non Partisan,33
51,Democrat,12
51,Non Partisan,31
3,Non Partisan,33
52,Non Partisan,28
51,Republican,74
9,Democrat,21
52,Democrat,25
53,Republican,58
53,Democrat,20
47,Non Partisan,36
50,Democrat,32
48,Democrat,6
