iso_calendar_week,party,count
49,Democrat,272
52,Republican,494
33,Democrat,1210
3,Democrat,922
34,Republican,5328
43,Democrat,1867
42,Democrat,818
35,Democrat,1163
41,Democrat,1450
41,Republican,2889
34,Democrat,2214
36,Democrat,821
3,Republican,1769
40,Republican,3974
40,Democrat,2196
44,Democrat,1969
45,Republican,7810
34,Non Partisan,3040
2,Non Partisan,523
42,Non Partisan,1027
31,Democrat,833
29,Non Partisan,3044
38,Republican,1437
13,Non Partisan,638
45,Democrat,4117
35,Non Partisan,1470
35,Republican,2060
33,Republican,2565
10,Non Partisan,497
22,Non Partisan,348
41,Non Partisan,1725
17,Republican,1075
21,Republican,724
26,Democrat,1127
15,Republican,1251
43,Non Partisan,2351
45,Non Partisan,5323
29,Republican,3390
4,Republican,3397
19,Democrat,1081
33,Non Partisan,1736
47,Non Partisan,476
30,Non Partisan,1967
50,Republican,664
18,Republican,1492
44,Non Partisan,2710
31,Republican,3426
16,Non Partisan,696
37,Democrat,816
14,Democrat,690
3,Non Partisan,1157
32,Non Partisan,1717
14,Non Partisan,1123
46,Republican,950
43,Republican,3497
13,Republican,916
49,Non Partisan,380
39,Republican,2378
39,Non Partisan,1723
37,Non Partisan,858
4,Democrat,1571
10,Democrat,301
36,Non Partisan,904
51,Democrat,290
25,Democrat,849
2,Republican,707
24,Republican,1083
52,Democrat,206
27,Republican,1644
6,Non Partisan,1390
49,Republican,587
5,Republican,2102
5,Non Partisan,1805
32,Democrat,1161
22,Republican,521
21,Non Partisan,515
9,Republican,778
25,Non Partisan,1165
10,Republican,1351
52,Non Partisan,340
14,Republican,1833
36,Republican,1263
6,Republican,1666
32,Republican,3422
25,Republican,1498
5,Democrat,1665
48,Non Partisan,391
8,Democrat,594
20,Republican,847
42,Republican,1776
50,Democrat,357
40,Non Partisan,2855
44,Republican,4280
19,Republican,1700
47,Republican,679
9,Non Partisan,470
17,Democrat,716
15,Non Partisan,713
31,Non Partisan,1263
26,Republican,1843
51,Non Partisan,394
9,Democrat,318
17,Non Partisan,1034
38,Non Partisan,1105
38,Democrat,916
30,Democrat,1499
4,Non Partisan,2027
12,Democrat,334
30,Republican,2865
1,Democrat,268
46,Non Partisan,752
1,Republican,629
15,Democrat,454
11,Republican,947
18,Non Partisan,1612
16,Republican,1088
12,Republican,789
29,Democrat,2510
2,Democrat,334
6,Democrat,1197
19,Non Partisan,1364
7,Non Partisan,996
1,Non Partisan,351
28,Democrat,1160
21,Democrat,297
13,Democrat,331
23,Democrat,363
23,Non Partisan,519
28,Republican,1814
18,Democrat,1269
37,Republican,1259
12,Non Partisan,581
22,Democrat,256
20,Democrat,370
11,Democrat,294
7,Republican,1315
24,Democrat,596
39,Democrat,1342
7,Democrat,868
8,Republican,1034
20,Non Partisan,595
16,Democrat,444
11,Non Partisan,405
50,Non Partisan,493
24,Non Partisan,777
51,Republican,556
26,Non Partisan,1323
28,Non Partisan,1473
27,Non Partisan,1226
46,Democrat,593
23,Republican,746
48,Republican,589
8,Non Partisan,871
48,Democrat,317
27,Democrat,984
53,Republican,33
47,Democrat,474
53,Non Partisan,14
53,Democrat,10
