iso_calendar_week,party,count
51,Non Partisan,4526
12,Republican,1966
34,Democrat,2326
8,Republican,1393
36,Non Partisan,6435
35,Democrat,1479
41,Non Partisan,16643
40,Republican,6232
15,Democrat,2222
13,Democrat,1535
12,Democrat,1473
38,Non Partisan,9226
16,Democrat,2511
17,Democrat,1857
6,Republican,1654
14,Republican,2075
32,Non Partisan,7358
8,Non Partisan,3657
40,Democrat,4654
4,Non Partisan,3978
19,Non Partisan,4910
9,Democrat,1216
42,Non Partisan,4636
6,Non Partisan,4719
40,Non Partisan,15574
10,Democrat,1218
14,Democrat,1620
23,Democrat,1263
47,Republican,1679
13,Republican,2039
5,Non Partisan,4134
30,Democrat,1556
12,Non Partisan,4715
30,Republican,2178
31,Democrat,1620
8,Democrat,959
16,Non Partisan,5538
5,Republican,1505
13,Non Partisan,4883
4,Democrat,994
18,Non Partisan,4180
39,Republican,4334
41,Republican,6670
39,Non Partisan,11523
43,Non Partisan,5076
32,Democrat,1887
11,Non Partisan,4803
38,Republican,3389
25,Republican,2000
3,Non Partisan,4637
31,Non Partisan,7184
17,Non Partisan,5127
22,Republican,1553
27,Democrat,1044
11,Democrat,1323
43,Republican,1968
41,Democrat,5222
48,Republican,1467
9,Republican,1767
16,Republican,3077
6,Democrat,1107
4,Republican,1600
36,Republican,2218
27,Republican,1720
48,Democrat,915
19,Democrat,1278
36,Democrat,1548
46,Republican,1952
20,Republican,1933
31,Republican,2383
33,Democrat,2278
51,Republican,1569
45,Democrat,1465
48,Non Partisan,4162
44,Republican,2197
49,Non Partisan,5359
10,Republican,1812
32,Republican,2707
35,Republican,2166
38,Democrat,2515
28,Democrat,1503
29,Republican,2303
26,Democrat,1320
33,Republican,3249
24,Democrat,1257
44,Democrat,1569
37,Democrat,2268
50,Republican,1622
30,Non Partisan,6990
5,Democrat,1135
26,Republican,1957
29,Non Partisan,6567
7,Non Partisan,4657
2,Democrat,1142
24,Non Partisan,5243
21,Democrat,1149
21,Republican,1835
20,Democrat,1231
33,Non Partisan,8074
35,Non Partisan,6377
17,Republican,2455
49,Republican,1771
37,Republican,2973
45,Republican,2142
7,Republican,1648
29,Democrat,1544
34,Republican,3431
9,Non Partisan,4468
50,Non Partisan,4842
14,Non Partisan,4957
10,Non Partisan,4146
34,Non Partisan,8026
45,Non Partisan,6002
25,Non Partisan,5628
46,Non Partisan,5118
1,Non Partisan,3710
37,Non Partisan,8698
11,Republican,1890
47,Democrat,1072
18,Republican,1346
46,Democrat,1290
3,Democrat,1113
3,Republican,1763
22,Non Partisan,3901
43,Democrat,1379
26,Non Partisan,5294
19,Republican,1991
53,Non Partisan,1258
7,Democrat,1118
23,Non Partisan,4709
15,Non Partisan,5584
22,Democrat,957
20,Non Partisan,4692
51,Democrat,1062
47,Non Partisan,4500
24,Republican,1870
1,Democrat,951
27,Non Partisan,4266
44,Non Partisan,5411
28,Non Partisan,6023
25,Democrat,1379
39,Democrat,3147
2,Non Partisan,4487
21,Non Partisan,4731
42,Republican,1711
49,Democrat,1137
53,Republican,509
28,Republican,2175
50,Democrat,1138
52,Non Partisan,2685
23,Republican,1786
1,Republican,1404
42,Democrat,1163
18,Democrat,1106
15,Republican,2452
2,Republican,1758
52,Republican,1059
52,Democrat,693
53,Democrat,319
