iso_calendar_week,party,count
23,Republican,5012
12,Republican,4149
15,Republican,5100
2,Republican,4849
26,Republican,5975
41,Republican,9551
42,Democrat,4278
24,Democrat,4453
38,Republican,6774
46,Republican,3960
7,Republican,4150
1,Non Partisan,7185
51,Democrat,2764
39,Republican,8790
32,Republican,6477
18,Republican,4641
37,Democrat,6241
48,Non Partisan,6934
41,Non Partisan,13733
43,Republican,5106
5,Republican,4878
42,Republican,5091
17,Democrat,4077
31,Non Partisan,11150
30,Republican,7314
40,Republican,10408
29,Democrat,5192
12,Democrat,3857
27,Democrat,4441
14,Republican,4448
11,Republican,4268
19,Democrat,4195
31,Democrat,6021
48,Republican,3460
48,Democrat,2916
22,Republican,4364
13,Republican,4343
51,Republican,3674
13,Democrat,3853
35,Democrat,6231
33,Non Partisan,11696
26,Non Partisan,9491
39,Democrat,8945
30,Non Partisan,10835
34,Republican,6541
26,Democrat,4764
47,Democrat,2967
13,Non Partisan,8125
4,Non Partisan,7264
25,Democrat,4875
11,Non Partisan,8268
6,Non Partisan,8097
50,Non Partisan,8135
29,Non Partisan,9962
28,Non Partisan,10193
37,Non Partisan,10787
18,Non Partisan,8494
16,Non Partisan,8919
49,Democrat,3248
12,Non Partisan,8196
34,Non Partisan,10895
44,Non Partisan,9427
15,Democrat,4398
9,Non Partisan,8595
4,Democrat,3706
32,Democrat,5286
19,Non Partisan,8652
32,Non Partisan,10891
36,Democrat,6111
5,Non Partisan,8215
34,Democrat,5798
2,Non Partisan,8244
18,Democrat,4010
42,Non Partisan,8672
24,Non Partisan,9351
33,Republican,6708
1,Republican,4349
39,Non Partisan,14111
7,Non Partisan,7903
46,Non Partisan,7577
35,Non Partisan,10806
14,Democrat,3733
51,Non Partisan,7399
40,Non Partisan,15102
8,Non Partisan,7306
22,Democrat,3943
38,Democrat,6911
27,Non Partisan,8513
22,Non Partisan,7741
8,Democrat,3658
17,Non Partisan,8417
21,Non Partisan,8560
43,Democrat,4217
7,Democrat,3759
49,Republican,4067
50,Democrat,3227
38,Non Partisan,11613
35,Republican,6516
16,Democrat,4334
45,Non Partisan,9855
9,Democrat,4144
46,Democrat,3371
6,Democrat,3840
23,Democrat,4653
20,Democrat,4405
10,Non Partisan,8236
28,Democrat,5189
23,Non Partisan,9318
11,Democrat,4013
21,Democrat,4209
10,Democrat,3842
2,Democrat,3929
5,Democrat,4130
25,Republican,5556
29,Republican,5985
49,Non Partisan,8488
36,Non Partisan,10232
20,Non Partisan,8837
9,Republican,4625
3,Democrat,3548
45,Democrat,5227
44,Democrat,4518
14,Non Partisan,8388
41,Democrat,8676
16,Republican,5089
33,Democrat,5769
47,Non Partisan,7426
52,Non Partisan,5865
47,Republican,3503
24,Republican,5288
30,Democrat,6113
15,Non Partisan,8834
25,Non Partisan,9546
37,Republican,6243
43,Non Partisan,9261
21,Republican,4633
45,Republican,5574
3,Non Partisan,7403
40,Democrat,9768
20,Republican,5013
1,Democrat,3315
52,Democrat,2295
53,Democrat,885
8,Republican,3956
44,Republican,5352
50,Republican,4135
53,Non Partisan,2221
52,Republican,2949
17,Republican,4562
19,Republican,4569
31,Republican,7063
6,Republican,4310
36,Republican,5962
10,Republican,4112
27,Republican,5174
28,Republican,5864
3,Republican,4165
53,Republican,1222
4,Republican,4464
