iso_calendar_week,party,count
35,Non Partisan,4252
47,Republican,1039
45,Republican,5131
34,Democrat,3719
41,Non Partisan,13878
7,Republican,695
43,Non Partisan,21618
42,Democrat,12789
41,Republican,5152
39,Republican,2771
23,Non Partisan,4450
35,Democrat,4083
30,Republican,1642
36,Republican,1772
16,Democrat,1873
23,Republican,1430
37,Democrat,5516
33,Democrat,3988
31,Democrat,5405
31,Republican,2072
10,Non Partisan,2461
10,Republican,884
39,Non Partisan,7130
40,Democrat,7948
38,Non Partisan,5610
17,Democrat,1839
43,Democrat,16132
31,Non Partisan,3835
37,Non Partisan,4926
46,Non Partisan,5768
44,Non Partisan,14817
34,Non Partisan,3933
17,Non Partisan,2938
20,Non Partisan,4654
46,Democrat,3653
19,Non Partisan,4909
29,Democrat,2458
11,Non Partisan,2375
42,Non Partisan,17742
25,Republican,1171
47,Non Partisan,3084
22,Democrat,2406
17,Republican,1256
40,Non Partisan,10740
27,Republican,930
45,Non Partisan,12156
38,Democrat,5217
44,Democrat,10551
38,Republican,2306
19,Democrat,2522
29,Non Partisan,2833
14,Non Partisan,3007
13,Non Partisan,2878
18,Democrat,2213
6,Democrat,1235
47,Democrat,1918
42,Republican,6489
16,Republican,1253
48,Non Partisan,2219
40,Republican,3931
41,Democrat,9809
6,Non Partisan,2055
52,Non Partisan,1147
34,Republican,1693
45,Democrat,8133
23,Democrat,2829
50,Non Partisan,2278
25,Democrat,2235
28,Non Partisan,3193
27,Non Partisan,2634
15,Democrat,1943
25,Non Partisan,3877
36,Non Partisan,4200
39,Democrat,5969
3,Republican,702
43,Republican,7403
44,Republican,5177
48,Democrat,1457
20,Republican,1540
22,Non Partisan,3809
15,Non Partisan,3717
20,Democrat,2457
32,Non Partisan,4307
12,Non Partisan,2637
1,Democrat,863
26,Non Partisan,3028
16,Non Partisan,3365
5,Non Partisan,1773
8,Non Partisan,1842
32,Democrat,5791
13,Republican,1059
35,Republican,1719
8,Democrat,1323
37,Republican,1839
51,Democrat,1359
7,Non Partisan,1996
2,Non Partisan,2027
9,Democrat,1599
30,Non Partisan,3160
52,Democrat,796
9,Republican,843
21,Republican,1572
36,Democrat,5616
4,Non Partisan,1781
33,Non Partisan,3691
14,Republican,999
28,Democrat,2678
13,Democrat,1580
22,Republican,1183
49,Democrat,1549
18,Non Partisan,4313
27,Democrat,1758
29,Republican,1261
6,Republican,738
49,Republican,804
53,Non Partisan,631
32,Republican,2384
2,Democrat,1498
26,Republican,1036
3,Democrat,1257
21,Non Partisan,5003
24,Republican,1314
18,Republican,1438
10,Democrat,1408
52,Republican,480
9,Non Partisan,2179
33,Republican,2101
51,Non Partisan,2148
5,Democrat,1326
21,Democrat,2621
30,Democrat,3310
15,Republican,1214
7,Democrat,1311
28,Republican,1242
14,Democrat,1565
19,Republican,1458
24,Non Partisan,4031
26,Democrat,1944
51,Republican,679
24,Democrat,2670
11,Democrat,1270
12,Republican,925
50,Republican,717
50,Democrat,1398
11,Republican,851
46,Republican,1955
2,Republican,795
5,Republican,739
12,Democrat,1493
3,Non Partisan,1963
48,Republican,771
1,Non Partisan,1328
49,Non Partisan,2460
4,Democrat,1419
8,Republican,627
4,Republican,737
1,Republican,536
53,Republican,291
53,Democrat,541
