iso_calendar_week,party,count
12,Democrat,1068
45,Non Partisan,3248
45,Democrat,9583
25,Non Partisan,537
21,Non Partisan,388
20,Non Partisan,509
30,Democrat,1847
9,Democrat,1543
32,Democrat,2640
33,Democrat,3350
37,Democrat,4457
36,Democrat,1870
11,Democrat,1314
16,Non Partisan,300
41,Democrat,2872
18,Democrat,1241
51,Republican,156
7,Democrat,1098
29,Democrat,1678
27,Democrat,1450
42,Democrat,2024
15,Democrat,1046
15,Republican,125
28,Democrat,1912
41,Non Partisan,906
40,Democrat,2559
44,Democrat,2197
14,Democrat,3119
37,Non Partisan,957
39,Non Partisan,881
48,Non Partisan,292
33,Non Partisan,827
43,Democrat,1329
13,Democrat,1064
5,Democrat,1114
21,Democrat,1167
47,Democrat,1135
16,Democrat,1024
2,Democrat,1292
25,Democrat,1639
8,Democrat,1076
4,Non Partisan,336
20,Democrat,1531
49,Democrat,1244
38,Democrat,2281
10,Democrat,1211
38,Non Partisan,746
26,Democrat,1637
31,Democrat,2095
28,Non Partisan,627
14,Republican,247
39,Democrat,3084
22,Democrat,1369
3,Democrat,1077
9,Non Partisan,404
19,Democrat,1229
21,Republican,122
36,Non Partisan,489
34,Democrat,2059
4,Democrat,940
32,Non Partisan,697
6,Democrat,1103
24,Democrat,1704
22,Non Partisan,469
34,Non Partisan,570
48,Democrat,986
23,Democrat,1428
35,Democrat,1801
17,Democrat,1486
26,Republican,176
37,Republican,308
39,Republican,305
43,Non Partisan,475
45,Republican,874
46,Non Partisan,401
51,Non Partisan,378
17,Republican,165
18,Non Partisan,432
29,Non Partisan,533
3,Non Partisan,363
42,Non Partisan,614
12,Non Partisan,330
40,Non Partisan,827
29,Republican,184
49,Non Partisan,396
13,Republican,118
38,Republican,260
34,Republican,248
40,Republican,303
31,Republican,258
25,Republican,190
19,Republican,134
50,Non Partisan,398
41,Republican,312
8,Republican,123
47,Non Partisan,360
31,Non Partisan,619
14,Non Partisan,659
44,Republican,227
51,Democrat,1140
50,Democrat,1223
46,Democrat,1294
13,Non Partisan,337
5,Non Partisan,386
1,Non Partisan,368
30,Republican,222
7,Non Partisan,350
48,Republican,137
32,Republican,243
33,Republican,288
44,Non Partisan,608
47,Republican,149
6,Non Partisan,384
30,Non Partisan,616
8,Non Partisan,355
6,Republican,118
53,Democrat,469
35,Non Partisan,533
19,Non Partisan,341
35,Republican,206
1,Democrat,1094
42,Republican,204
17,Non Partisan,516
26,Non Partisan,550
24,Non Partisan,594
24,Republican,156
10,Non Partisan,345
11,Non Partisan,406
43,Republican,181
52,Non Partisan,218
23,Republican,146
52,Democrat,755
22,Republican,122
28,Republican,186
36,Republican,205
49,Republican,179
11,Republican,125
18,Republican,140
15,Non Partisan,328
23,Non Partisan,491
2,Non Partisan,410
16,Republican,94
2,Republican,141
10,Republican,128
27,Non Partisan,468
4,Republican,112
12,Republican,106
27,Republican,158
3,Republican,126
52,Republican,93
46,Republican,183
5,Republican,106
1,Republican,145
9,Republican,121
7,Republican,98
20,Republican,132
50,Republican,143
53,Non Partisan,139
53,Republican,65
