iso_calendar_week,party,count
23,Democrat,17249
24,Republican,16171
39,Democrat,36075
53,Republican,5506
14,Democrat,20038
31,Republican,18845
41,Democrat,45960
3,Republican,13622
4,Republican,14421
13,Non Partisan,23766
35,Republican,20090
37,Republican,21019
49,Republican,16696
48,Democrat,12621
30,Non Partisan,25215
40,Democrat,44771
44,Democrat,19093
17,Non Partisan,21888
6,Democrat,17587
22,Non Partisan,17588
32,Democrat,22606
19,Democrat,19962
34,Non Partisan,28276
17,Republican,15500
31,Democrat,22832
27,Republican,14818
12,Non Partisan,31084
38,Republican,23451
39,Non Partisan,39261
13,Democrat,22321
37,Democrat,29354
5,Republican,16268
14,Non Partisan,22041
3,Non Partisan,17433
8,Republican,14300
41,Republican,32295
53,Democrat,4505
36,Democrat,24732
24,Non Partisan,24229
39,Republican,25825
21,Non Partisan,20571
18,Republican,14864
25,Democrat,19727
33,Democrat,24409
36,Republican,18902
9,Republican,15451
40,Republican,31909
33,Republican,21241
4,Democrat,15532
32,Republican,19614
2,Republican,14766
20,Republican,14399
42,Non Partisan,20972
29,Republican,18896
4,Non Partisan,17523
37,Non Partisan,30661
9,Democrat,17992
34,Democrat,24163
52,Democrat,10795
25,Non Partisan,22694
50,Democrat,15959
43,Democrat,19210
11,Democrat,16927
10,Republican,13759
45,Republican,17771
22,Democrat,14793
18,Democrat,19217
47,Democrat,14514
20,Democrat,18560
23,Republican,14210
28,Republican,18503
52,Republican,12422
40,Non Partisan,47767
30,Republican,18269
7,Republican,15194
18,Non Partisan,22546
47,Non Partisan,18284
46,Non Partisan,19493
43,Republican,16775
48,Non Partisan,15124
5,Democrat,18560
6,Republican,14313
29,Democrat,22152
11,Republican,13798
15,Republican,14577
32,Non Partisan,26043
27,Non Partisan,19377
47,Republican,14192
35,Democrat,24063
34,Republican,20228
41,Non Partisan,49114
50,Republican,15306
2,Non Partisan,18366
26,Democrat,19625
1,Republican,14882
43,Non Partisan,22564
49,Non Partisan,20702
38,Democrat,31782
21,Republican,13907
36,Non Partisan,27236
28,Non Partisan,24137
52,Non Partisan,13250
14,Republican,14795
12,Republican,16373
46,Democrat,16184
16,Non Partisan,22874
12,Democrat,26732
19,Non Partisan,23769
11,Non Partisan,19799
49,Democrat,16968
7,Democrat,17852
31,Non Partisan,25983
20,Non Partisan,21802
1,Democrat,13086
8,Democrat,16860
19,Republican,14292
45,Democrat,19121
13,Republican,16875
30,Democrat,21451
38,Non Partisan,34200
42,Democrat,17358
25,Republican,15997
26,Non Partisan,23015
51,Non Partisan,18663
35,Non Partisan,28581
5,Non Partisan,21331
27,Democrat,17370
10,Democrat,16953
51,Republican,15036
44,Non Partisan,21818
48,Republican,12243
15,Non Partisan,22134
51,Democrat,14636
3,Democrat,14504
29,Non Partisan,25246
15,Democrat,19713
46,Republican,15726
22,Republican,12154
33,Non Partisan,28178
2,Democrat,15343
9,Non Partisan,21411
23,Non Partisan,19829
10,Non Partisan,19670
6,Non Partisan,19862
45,Non Partisan,22851
7,Non Partisan,21821
28,Democrat,21186
16,Republican,15200
26,Republican,16077
1,Non Partisan,14930
42,Republican,15884
24,Democrat,22243
50,Non Partisan,19598
44,Republican,16965
17,Democrat,18918
16,Democrat,19906
21,Democrat,17665
8,Non Partisan,19615
53,Non Partisan,5181
