iso_calendar_week,party,count
33,Democrat,3113
16,Non Partisan,25908
39,Republican,5793
3,Non Partisan,19997
46,Non Partisan,21621
35,Non Partisan,29568
40,Non Partisan,58492
34,Non Partisan,31707
14,Non Partisan,22673
39,Non Partisan,47347
16,Republican,4309
32,Non Partisan,32800
36,Non Partisan,33105
49,Non Partisan,22157
18,Republican,3204
32,Republican,4583
5,Non Partisan,20344
28,Democrat,2968
31,Democrat,3531
38,Democrat,4642
43,Republican,3720
41,Non Partisan,56355
46,Republican,3103
15,Republican,3582
40,Republican,6997
22,Republican,3400
2,Republican,3520
4,Non Partisan,20106
24,Non Partisan,25537
45,Non Partisan,38101
7,Republican,2970
10,Republican,4146
23,Republican,4233
37,Republican,4781
48,Republican,2540
8,Non Partisan,21127
15,Democrat,2760
26,Republican,4946
40,Democrat,6469
45,Republican,5284
31,Republican,4476
6,Republican,3841
28,Republican,4145
44,Non Partisan,31459
42,Republican,3590
31,Non Partisan,32430
23,Democrat,3089
23,Non Partisan,25087
52,Non Partisan,15250
42,Democrat,2757
48,Non Partisan,17911
7,Democrat,2195
29,Non Partisan,28358
25,Republican,4707
43,Non Partisan,26694
42,Non Partisan,25025
9,Non Partisan,21486
28,Non Partisan,27531
51,Non Partisan,20412
27,Non Partisan,22857
18,Non Partisan,23435
7,Non Partisan,17710
33,Non Partisan,33204
38,Non Partisan,40969
20,Non Partisan,23361
13,Democrat,2692
21,Non Partisan,22454
6,Non Partisan,21282
19,Republican,3290
17,Non Partisan,25732
20,Democrat,2657
26,Non Partisan,26334
27,Republican,3933
35,Republican,3895
52,Republican,2401
30,Non Partisan,30061
41,Republican,6106
2,Non Partisan,19934
6,Democrat,2687
8,Democrat,2563
12,Non Partisan,21204
8,Republican,3227
27,Democrat,2973
50,Non Partisan,20446
39,Democrat,5239
19,Non Partisan,21693
17,Democrat,2934
16,Democrat,2934
25,Non Partisan,26238
12,Republican,3562
15,Non Partisan,22619
44,Democrat,4463
11,Non Partisan,21434
21,Republican,3677
37,Non Partisan,38173
32,Democrat,3138
20,Republican,3486
17,Republican,3992
45,Democrat,4418
24,Republican,4369
14,Republican,3394
53,Non Partisan,7545
35,Democrat,3028
36,Democrat,3609
36,Republican,4536
30,Republican,4340
21,Democrat,2681
44,Republican,4684
43,Democrat,3053
5,Democrat,2609
13,Republican,3627
13,Non Partisan,21715
50,Democrat,2028
9,Republican,3434
18,Democrat,2444
24,Democrat,3387
41,Democrat,5734
1,Non Partisan,19885
50,Republican,2864
34,Democrat,3055
4,Republican,3603
22,Non Partisan,22186
10,Non Partisan,22505
38,Republican,5202
9,Democrat,2620
11,Democrat,2746
3,Democrat,2347
47,Non Partisan,19078
33,Republican,4270
29,Republican,4653
5,Republican,3751
22,Democrat,2654
12,Democrat,2679
2,Democrat,2301
10,Democrat,3062
1,Democrat,2474
14,Democrat,2684
30,Democrat,3135
25,Democrat,3611
37,Democrat,4400
1,Republican,3490
52,Democrat,1769
53,Republican,994
51,Republican,2691
26,Democrat,3603
29,Democrat,3512
11,Republican,3504
4,Democrat,2485
34,Republican,4075
3,Republican,3508
19,Democrat,2572
51,Democrat,1872
47,Republican,2535
49,Republican,3178
46,Democrat,2238
49,Democrat,2301
47,Democrat,1878
48,Democrat,1900
53,Democrat,643
