iso_calendar_week,party,count
46,Non Partisan,4087
51,Democrat,1288
6,Republican,2254
16,Republican,2837
25,Republican,2995
33,Non Partisan,4180
47,Non Partisan,4066
19,Non Partisan,2790
44,Non Partisan,3668
32,Republican,7883
37,Non Partisan,4587
23,Republican,2850
34,Non Partisan,5013
6,Non Partisan,2997
18,Non Partisan,2457
17,Democrat,1469
39,Republican,4785
31,Non Partisan,3720
9,Democrat,1620
46,Republican,3073
29,Republican,6417
25,Non Partisan,3379
42,Non Partisan,10607
35,Republican,4087
1,Non Partisan,2352
40,Republican,5742
8,Non Partisan,2288
42,Republican,9321
21,Democrat,1448
51,Republican,2222
52,Democrat,1005
43,Republican,2209
24,Republican,3164
34,Republican,4462
30,Republican,2524
9,Republican,2885
29,Non Partisan,4708
49,Republican,2818
52,Republican,1833
9,Non Partisan,3690
12,Democrat,1334
12,Non Partisan,2984
48,Democrat,1734
37,Republican,3691
32,Non Partisan,5195
41,Non Partisan,8198
14,Non Partisan,3208
48,Non Partisan,3871
29,Democrat,2459
40,Non Partisan,7394
14,Republican,2796
22,Republican,2375
7,Non Partisan,2657
33,Republican,4057
24,Non Partisan,3633
16,Non Partisan,3957
36,Non Partisan,4039
7,Republican,2399
15,Republican,2757
39,Democrat,3228
2,Republican,2352
44,Republican,3613
46,Democrat,1842
10,Non Partisan,3341
4,Non Partisan,3505
21,Republican,2608
6,Democrat,1300
38,Non Partisan,4785
23,Non Partisan,2995
1,Republican,2051
31,Republican,5784
27,Democrat,1659
47,Republican,2975
5,Democrat,1362
42,Democrat,5414
10,Republican,2676
15,Non Partisan,3403
28,Republican,5373
20,Non Partisan,3202
4,Republican,2399
17,Republican,2512
50,Non Partisan,3054
51,Non Partisan,3003
38,Republican,3781
2,Non Partisan,2682
36,Republican,3343
30,Non Partisan,2757
30,Democrat,1304
43,Democrat,1304
50,Republican,2442
41,Democrat,4427
11,Non Partisan,4040
45,Non Partisan,7125
21,Non Partisan,3169
5,Non Partisan,3088
20,Republican,2704
5,Republican,2343
17,Non Partisan,3219
8,Republican,1951
38,Democrat,2490
27,Republican,3442
13,Republican,1623
35,Democrat,2239
28,Non Partisan,4325
10,Democrat,1425
52,Non Partisan,2275
18,Republican,2076
50,Democrat,1314
23,Democrat,1482
15,Democrat,1635
11,Republican,3198
37,Democrat,2513
8,Democrat,1091
41,Republican,7084
49,Non Partisan,3870
3,Republican,2418
19,Republican,2296
53,Non Partisan,667
35,Non Partisan,4730
3,Non Partisan,2789
33,Democrat,2177
2,Democrat,1175
34,Democrat,2475
1,Democrat,1086
45,Republican,5507
36,Democrat,2160
20,Democrat,1473
40,Democrat,3805
27,Non Partisan,3276
45,Democrat,3708
39,Non Partisan,6122
47,Democrat,1725
18,Democrat,1061
53,Republican,558
12,Republican,2529
22,Non Partisan,2929
19,Democrat,1347
26,Republican,3446
25,Democrat,1615
44,Democrat,2044
7,Democrat,1174
14,Democrat,1485
26,Non Partisan,3609
13,Non Partisan,1924
4,Democrat,1338
22,Democrat,1381
28,Democrat,2295
49,Democrat,1554
48,Republican,2787
43,Non Partisan,2747
24,Democrat,1726
32,Democrat,3094
11,Democrat,1717
13,Democrat,928
26,Democrat,1780
3,Democrat,1252
16,Democrat,1610
53,Democrat,308
31,Democrat,1878
