iso_calendar_week,party,count
52,Democrat,12832
21,Republican,6466
15,Republican,15544
33,Democrat,16556
38,Democrat,20189
36,Democrat,16437
10,Republican,14512
15,Democrat,18592
38,Republican,15872
46,Republican,17515
46,Democrat,17348
33,Republican,14254
39,Republican,18362
8,Republican,11713
53,Democrat,5733
48,Democrat,17442
49,Republican,22353
12,Republican,21036
16,Democrat,16774
53,Republican,7251
35,Republican,15437
26,Democrat,16344
12,Democrat,27804
50,Republican,17812
1,Republican,12234
13,Republican,16158
52,Republican,13925
22,Republican,12775
29,Democrat,15541
13,Democrat,21366
40,Republican,19876
35,Democrat,18294
47,Republican,22947
37,Republican,14307
47,Democrat,25319
41,Republican,19559
4,Democrat,12765
14,Democrat,17900
17,Democrat,15234
43,Republican,3054
23,Democrat,21063
9,Democrat,25572
28,Republican,13508
4,Republican,10066
40,Democrat,24300
7,Republican,12448
32,Democrat,16769
9,Republican,16262
45,Democrat,6130
2,Republican,15883
6,Republican,13367
17,Republican,11586
51,Republican,19933
1,Democrat,14613
51,Democrat,22110
25,Republican,13504
24,Republican,16617
27,Republican,10790
36,Republican,14223
25,Democrat,15090
8,Democrat,18627
21,Democrat,7579
20,Republican,2952
44,Republican,3006
45,Republican,5103
34,Democrat,17684
50,Democrat,20377
14,Republican,13836
18,Republican,4169
43,Democrat,3490
30,Republican,14347
16,Republican,13822
26,Republican,14032
22,Democrat,12614
30,Democrat,16917
24,Democrat,19714
27,Democrat,12426
39,Democrat,22600
32,Republican,13820
3,Democrat,17000
10,Democrat,18350
5,Republican,12763
19,Democrat,4602
3,Republican,13008
31,Democrat,16299
11,Republican,18898
48,Republican,14971
49,Democrat,24265
42,Republican,5365
41,Democrat,24598
31,Republican,14487
34,Republican,14750
29,Republican,13959
2,Democrat,21792
5,Democrat,17102
19,Republican,3013
6,Democrat,17513
37,Democrat,18044
18,Democrat,5678
11,Democrat,23382
23,Republican,19538
7,Democrat,16238
28,Democrat,16137
20,Democrat,4956
42,Democrat,7153
44,Democrat,3593
14,Non Partisan,1
16,Non Partisan,1
