iso_calendar_week,party,count
7,Republican,2495
38,Republican,8481
36,Non Partisan,6475
9,Non Partisan,3623
24,Republican,3265
6,Republican,2745
50,Non Partisan,3853
15,Republican,2870
45,Non Partisan,7196
48,Democrat,2618
2,Republican,3232
28,Non Partisan,5124
41,Republican,11159
27,Non Partisan,4213
41,Non Partisan,12281
50,Democrat,3164
23,Republican,3089
41,Democrat,15848
43,Democrat,5131
39,Republican,8878
35,Non Partisan,6897
40,Republican,10438
42,Republican,4454
22,Non Partisan,3632
47,Non Partisan,3616
49,Democrat,3222
20,Non Partisan,4738
6,Non Partisan,3777
25,Republican,3497
46,Republican,3379
24,Non Partisan,4482
31,Non Partisan,5525
30,Republican,4443
9,Democrat,3089
1,Democrat,2760
40,Democrat,12807
34,Democrat,5588
38,Non Partisan,11236
27,Republican,3018
42,Democrat,4369
3,Non Partisan,3627
18,Non Partisan,3934
32,Republican,4783
29,Republican,4090
5,Republican,2582
49,Republican,3263
37,Non Partisan,8294
15,Democrat,2954
28,Republican,4015
33,Non Partisan,6544
40,Non Partisan,11107
15,Non Partisan,3884
1,Republican,2663
7,Non Partisan,3635
49,Non Partisan,3954
17,Non Partisan,3814
4,Non Partisan,3498
4,Republican,2749
34,Republican,4982
39,Non Partisan,10265
32,Non Partisan,6142
2,Democrat,3072
31,Republican,4538
8,Democrat,3176
37,Republican,6284
33,Republican,5226
13,Republican,2790
47,Republican,3416
23,Non Partisan,4356
2,Non Partisan,3989
18,Republican,2950
36,Democrat,6444
7,Democrat,3067
38,Democrat,11643
48,Republican,2644
26,Republican,3660
35,Republican,5379
36,Republican,5170
19,Non Partisan,4470
11,Republican,2586
8,Republican,2666
8,Non Partisan,3592
29,Democrat,4461
14,Non Partisan,3873
10,Non Partisan,3647
26,Non Partisan,4713
21,Democrat,3385
25,Non Partisan,4680
19,Democrat,3456
14,Republican,2879
17,Republican,2941
9,Republican,2660
32,Democrat,5386
42,Non Partisan,5211
30,Democrat,4751
39,Democrat,11217
52,Republican,1762
10,Republican,2689
23,Democrat,3538
46,Democrat,3179
18,Democrat,3168
13,Democrat,3168
11,Democrat,2828
45,Republican,7142
28,Democrat,4241
16,Non Partisan,3601
37,Democrat,8751
20,Democrat,3895
52,Non Partisan,2223
45,Democrat,6837
5,Non Partisan,3609
50,Republican,3224
21,Non Partisan,4066
19,Republican,3168
12,Non Partisan,3921
20,Republican,3256
1,Non Partisan,3132
30,Non Partisan,5598
44,Non Partisan,5461
43,Non Partisan,5941
16,Republican,2846
27,Democrat,3556
52,Democrat,1629
44,Democrat,4631
22,Republican,2537
11,Non Partisan,3617
6,Democrat,3260
13,Non Partisan,3690
46,Non Partisan,3954
35,Democrat,6617
34,Non Partisan,6251
33,Democrat,5599
48,Non Partisan,3138
24,Democrat,3567
31,Democrat,4478
25,Democrat,3806
44,Republican,4925
26,Democrat,3866
17,Democrat,3088
14,Democrat,3068
3,Democrat,2759
10,Democrat,3246
53,Republican,740
3,Republican,2769
16,Democrat,2913
29,Non Partisan,5208
12,Democrat,2980
4,Democrat,3053
43,Republican,5407
53,Non Partisan,749
51,Republican,2677
51,Non Partisan,3351
21,Republican,2925
12,Republican,2907
51,Democrat,2565
5,Democrat,2993
22,Democrat,2880
47,Democrat,3038
53,Democrat,598
