iso_calendar_week,party,count
16,Non Partisan,6128
13,Democrat,6968
14,Democrat,8693
14,Non Partisan,4141
18,Republican,3983
38,Republican,5670
11,Republican,5474
36,Democrat,9404
47,Republican,4095
33,Republican,5544
17,Republican,4426
24,Republican,4140
50,Republican,4875
4,Republican,3832
31,Non Partisan,6124
23,Democrat,10734
20,Republican,4198
9,Republican,4579
33,Democrat,12333
34,Democrat,15678
41,Republican,9582
11,Non Partisan,5839
42,Democrat,28111
27,Republican,3023
40,Republican,8571
34,Republican,6631
15,Non Partisan,4118
10,Non Partisan,4623
41,Non Partisan,11666
19,Republican,4250
44,Republican,3287
51,Republican,4038
22,Non Partisan,5042
42,Non Partisan,12997
4,Democrat,8809
24,Non Partisan,5083
49,Republican,5963
12,Non Partisan,4023
25,Republican,4582
39,Republican,8628
30,Republican,5567
30,Non Partisan,6765
13,Republican,3140
17,Non Partisan,4923
8,Republican,3985
39,Non Partisan,9891
48,Republican,4689
31,Democrat,11941
19,Non Partisan,4613
22,Republican,4530
23,Republican,4416
46,Democrat,12437
1,Republican,3347
40,Democrat,22450
50,Democrat,10749
7,Non Partisan,4863
53,Republican,723
16,Republican,5534
2,Non Partisan,5352
26,Republican,4065
43,Democrat,6264
43,Non Partisan,3244
36,Republican,4450
43,Republican,2712
21,Republican,4366
32,Republican,5134
12,Democrat,7788
6,Republican,3561
42,Republican,9824
6,Non Partisan,4166
21,Non Partisan,4769
5,Republican,4308
49,Non Partisan,6951
27,Democrat,7148
52,Democrat,5470
37,Non Partisan,5665
17,Democrat,10170
3,Republican,4545
37,Republican,4948
30,Democrat,12827
39,Democrat,20881
18,Non Partisan,4783
16,Democrat,12425
41,Democrat,23643
48,Non Partisan,5492
47,Democrat,7972
8,Non Partisan,4257
36,Non Partisan,5081
1,Democrat,7180
8,Democrat,8404
9,Democrat,10583
37,Democrat,12039
1,Non Partisan,3838
51,Non Partisan,4636
44,Non Partisan,3391
28,Non Partisan,6816
19,Democrat,9022
20,Democrat,9421
5,Non Partisan,4790
40,Non Partisan,10511
29,Non Partisan,7547
12,Republican,3532
35,Non Partisan,6056
13,Non Partisan,3485
9,Non Partisan,5120
28,Republican,6045
45,Republican,5404
15,Republican,3372
3,Democrat,9833
27,Non Partisan,3623
25,Non Partisan,5322
6,Democrat,8188
45,Democrat,12351
50,Non Partisan,5751
33,Non Partisan,6146
48,Democrat,9825
7,Democrat,9524
35,Republican,4736
35,Democrat,11958
10,Democrat,9190
3,Non Partisan,4926
45,Non Partisan,5187
32,Democrat,11120
2,Democrat,10038
47,Non Partisan,4440
15,Democrat,7928
38,Non Partisan,6652
49,Democrat,12604
18,Democrat,9282
31,Republican,4976
28,Democrat,12711
52,Republican,2459
34,Non Partisan,7374
22,Democrat,9368
24,Democrat,10190
20,Non Partisan,4735
44,Democrat,8157
11,Democrat,13591
38,Democrat,14713
23,Non Partisan,4984
25,Democrat,10057
21,Democrat,9436
5,Democrat,9353
2,Republican,4754
26,Non Partisan,4824
4,Non Partisan,4397
26,Democrat,9204
51,Democrat,8394
7,Republican,4089
10,Republican,4090
46,Non Partisan,5325
46,Republican,5176
14,Republican,3646
29,Democrat,14058
32,Non Partisan,5704
52,Non Partisan,2909
29,Republican,6424
53,Democrat,1652
53,Non Partisan,893
