iso_calendar_week,party,count
44,Non Partisan,12253
45,Republican,8581
42,Republican,1623
24,Republican,1253
45,Non Partisan,20250
18,Democrat,457
43,Non Partisan,4965
52,Non Partisan,322
45,Democrat,10978
48,Non Partisan,1699
41,Democrat,1964
44,Democrat,7551
38,Non Partisan,1339
37,Non Partisan,1549
20,Democrat,613
41,Non Partisan,2902
43,Republican,2123
6,Democrat,200
46,Republican,254
43,Democrat,3214
31,Democrat,543
39,Non Partisan,1227
23,Democrat,1378
27,Non Partisan,717
36,Non Partisan,861
40,Non Partisan,2739
42,Non Partisan,3861
19,Non Partisan,616
46,Non Partisan,887
33,Non Partisan,1591
30,Democrat,680
33,Democrat,984
39,Democrat,760
30,Non Partisan,976
9,Republican,371
40,Democrat,1528
16,Democrat,301
50,Non Partisan,740
28,Republican,416
6,Non Partisan,351
24,Non Partisan,1955
47,Republican,207
26,Republican,387
27,Republican,355
23,Non Partisan,1500
44,Republican,5738
10,Democrat,609
5,Republican,309
40,Republican,951
18,Republican,416
41,Republican,1320
25,Republican,296
27,Democrat,486
42,Democrat,2413
37,Democrat,1054
8,Republican,251
49,Non Partisan,749
22,Non Partisan,797
22,Democrat,508
7,Democrat,375
15,Non Partisan,657
10,Non Partisan,1101
25,Democrat,331
11,Non Partisan,666
38,Democrat,964
39,Republican,595
35,Democrat,834
29,Democrat,562
13,Non Partisan,850
46,Democrat,290
3,Republican,254
23,Republican,1383
10,Republican,601
11,Democrat,384
35,Republican,578
34,Republican,425
34,Non Partisan,961
32,Democrat,580
35,Non Partisan,1231
4,Non Partisan,566
19,Democrat,348
21,Republican,454
13,Democrat,538
20,Non Partisan,1021
21,Non Partisan,831
26,Democrat,486
32,Non Partisan,938
31,Republican,405
28,Democrat,548
7,Non Partisan,655
50,Democrat,336
17,Democrat,305
12,Non Partisan,729
37,Republican,755
3,Non Partisan,471
7,Republican,354
15,Democrat,366
24,Democrat,1351
28,Non Partisan,832
48,Republican,240
14,Non Partisan,660
2,Democrat,298
12,Republican,344
47,Non Partisan,704
31,Non Partisan,859
5,Democrat,321
36,Republican,364
19,Republican,304
1,Democrat,211
1,Non Partisan,354
30,Republican,428
20,Republican,481
38,Republican,584
17,Non Partisan,555
47,Democrat,299
16,Non Partisan,556
51,Non Partisan,847
5,Non Partisan,474
22,Republican,448
29,Republican,391
29,Non Partisan,904
26,Non Partisan,811
1,Republican,175
48,Democrat,375
13,Republican,455
25,Non Partisan,597
8,Non Partisan,365
4,Republican,305
9,Democrat,386
33,Republican,700
52,Republican,160
49,Democrat,338
6,Republican,241
51,Democrat,404
18,Non Partisan,745
2,Non Partisan,474
16,Republican,268
14,Democrat,352
34,Democrat,713
4,Democrat,363
50,Republican,233
53,Non Partisan,146
17,Republican,294
14,Republican,301
21,Democrat,589
3,Democrat,277
9,Non Partisan,767
11,Republican,325
15,Republican,326
32,Republican,422
2,Republican,245
49,Republican,247
8,Democrat,262
36,Democrat,495
52,Democrat,160
51,Republican,310
12,Democrat,418
53,Republican,61
53,Democrat,93
