iso_calendar_week,party,count
41,Republican,29359
18,Democrat,8993
35,Non Partisan,17001
14,Democrat,7556
16,Republican,4784
33,Republican,10877
32,Democrat,12969
38,Non Partisan,19912
34,Republican,9878
25,Republican,8782
24,Republican,5426
41,Non Partisan,49647
37,Non Partisan,21032
7,Republican,9561
17,Republican,5966
41,Democrat,46014
39,Non Partisan,21330
32,Republican,9441
50,Republican,6309
29,Democrat,18054
42,Republican,8951
37,Republican,12354
16,Non Partisan,6737
1,Republican,5912
31,Non Partisan,12541
40,Republican,17992
10,Democrat,9818
14,Republican,6278
3,Non Partisan,7880
44,Republican,19433
45,Republican,12237
40,Non Partisan,28078
22,Democrat,5500
25,Democrat,10171
38,Republican,12824
44,Democrat,28529
4,Non Partisan,7308
19,Republican,7289
10,Non Partisan,12119
22,Non Partisan,6820
1,Non Partisan,7733
1,Democrat,6266
43,Republican,14304
42,Non Partisan,10517
31,Republican,8710
17,Non Partisan,8479
43,Non Partisan,14995
36,Non Partisan,15344
44,Non Partisan,21029
34,Democrat,13740
49,Republican,7020
39,Republican,14145
8,Republican,6245
50,Democrat,7321
39,Democrat,20661
11,Democrat,8691
8,Democrat,7293
52,Republican,3502
10,Republican,9187
6,Republican,5918
34,Non Partisan,17003
21,Republican,5349
15,Republican,8291
33,Non Partisan,16165
6,Non Partisan,7982
46,Non Partisan,9683
51,Democrat,6315
2,Democrat,6876
21,Democrat,5960
52,Non Partisan,4554
13,Democrat,7217
50,Non Partisan,8929
45,Non Partisan,16929
23,Republican,5796
46,Republican,7480
47,Republican,6463
29,Non Partisan,18208
8,Non Partisan,8494
15,Democrat,10306
15,Non Partisan,12201
48,Non Partisan,7321
51,Non Partisan,8671
29,Republican,11860
6,Democrat,6696
30,Republican,8808
35,Democrat,14524
18,Non Partisan,10376
49,Non Partisan,9958
36,Republican,10050
42,Democrat,10910
11,Republican,7819
5,Democrat,6473
20,Democrat,6494
30,Democrat,10829
25,Non Partisan,12135
20,Republican,5623
36,Democrat,14098
37,Democrat,18557
28,Non Partisan,11315
40,Democrat,26385
13,Republican,6180
4,Democrat,6086
18,Republican,7480
51,Republican,5954
3,Republican,5917
45,Democrat,16000
14,Non Partisan,8865
43,Democrat,19803
22,Republican,4645
26,Non Partisan,9818
7,Non Partisan,12284
2,Non Partisan,8259
30,Non Partisan,12762
7,Democrat,9736
16,Democrat,5802
12,Republican,6255
12,Non Partisan,8743
27,Democrat,7347
33,Democrat,14313
48,Republican,5454
47,Non Partisan,8549
13,Non Partisan,8671
5,Republican,5836
32,Non Partisan,14386
23,Democrat,6760
26,Republican,6825
5,Non Partisan,7604
21,Non Partisan,7456
19,Non Partisan,9001
35,Republican,10572
24,Non Partisan,8247
20,Non Partisan,8046
28,Democrat,9447
27,Republican,5950
2,Republican,6246
47,Democrat,6853
9,Democrat,7246
19,Democrat,7889
23,Non Partisan,8283
28,Republican,7874
46,Democrat,8196
17,Democrat,7300
38,Democrat,18570
11,Non Partisan,10532
27,Non Partisan,8567
53,Non Partisan,1833
9,Non Partisan,8061
48,Democrat,5870
12,Democrat,7107
49,Democrat,7862
4,Republican,5532
24,Democrat,6721
26,Democrat,7962
53,Republican,1437
3,Democrat,6508
53,Democrat,1447
9,Republican,5830
31,Democrat,10849
52,Democrat,3573
