iso_calendar_week,party,count
21,Republican,2065
12,Republican,2261
20,Republican,1915
46,Republican,1783
45,Non Partisan,1881
26,Non Partisan,1364
41,Non Partisan,2082
47,Republican,1879
29,Republican,2186
15,Republican,2230
2,Democrat,941
43,Republican,4242
42,Republican,4758
17,Republican,2799
38,Republican,2615
19,Non Partisan,1028
32,Non Partisan,1553
52,Republican,1414
39,Republican,3121
1,Democrat,874
28,Non Partisan,1430
33,Republican,2726
7,Non Partisan,1333
14,Republican,2254
40,Republican,3469
43,Democrat,2689
21,Non Partisan,1302
19,Republican,1711
16,Republican,2634
27,Republican,1772
21,Democrat,1105
45,Republican,2896
29,Non Partisan,1424
51,Republican,1624
35,Republican,2433
4,Republican,1818
34,Non Partisan,1530
36,Republican,2144
9,Democrat,1331
34,Republican,2587
25,Republican,2062
3,Republican,1915
44,Democrat,1219
48,Republican,1547
8,Republican,1866
30,Republican,2163
28,Republican,2229
42,Non Partisan,2614
37,Republican,2266
13,Republican,2369
49,Republican,1857
24,Republican,2017
17,Democrat,1326
2,Republican,1892
13,Democrat,1168
49,Non Partisan,1150
40,Non Partisan,2139
9,Republican,2567
52,Non Partisan,910
41,Republican,3727
46,Non Partisan,1122
6,Republican,1980
23,Democrat,1078
1,Republican,1630
1,Non Partisan,1024
15,Non Partisan,1249
31,Republican,2380
31,Non Partisan,1536
30,Non Partisan,1437
36,Democrat,1146
17,Non Partisan,1312
22,Republican,1853
7,Republican,2215
43,Non Partisan,2348
18,Republican,2664
42,Democrat,2999
33,Non Partisan,1595
26,Republican,2028
11,Republican,2423
14,Non Partisan,1288
6,Non Partisan,1154
20,Democrat,1071
23,Non Partisan,1288
5,Republican,1938
11,Non Partisan,1548
4,Non Partisan,1165
35,Non Partisan,1515
23,Republican,1900
15,Democrat,1147
20,Non Partisan,1194
32,Republican,2441
10,Republican,2466
51,Non Partisan,1162
39,Democrat,2146
28,Democrat,1229
24,Non Partisan,1276
19,Democrat,883
9,Non Partisan,1468
3,Non Partisan,1075
37,Democrat,1409
8,Non Partisan,1087
47,Non Partisan,1132
53,Republican,524
10,Non Partisan,1456
18,Democrat,1116
50,Democrat,1005
18,Non Partisan,1138
37,Non Partisan,1427
31,Democrat,1299
16,Non Partisan,1341
16,Democrat,1262
40,Democrat,2127
25,Non Partisan,1356
5,Non Partisan,1097
14,Democrat,1157
33,Democrat,1539
39,Non Partisan,1903
27,Democrat,902
44,Republican,2164
26,Democrat,1085
35,Democrat,1252
12,Non Partisan,1478
4,Democrat,1032
24,Democrat,1059
50,Republican,1723
12,Democrat,1305
52,Democrat,777
38,Democrat,1604
22,Non Partisan,1079
30,Democrat,1159
7,Democrat,1209
47,Democrat,1059
13,Non Partisan,1336
36,Non Partisan,1292
49,Democrat,1032
11,Democrat,1349
48,Democrat,810
10,Democrat,1337
27,Non Partisan,1045
3,Democrat,968
51,Democrat,1002
8,Democrat,976
2,Non Partisan,1132
22,Democrat,968
46,Democrat,986
34,Democrat,1425
41,Democrat,2218
48,Non Partisan,988
50,Non Partisan,1055
45,Democrat,1828
53,Democrat,278
25,Democrat,1086
32,Democrat,1365
6,Democrat,1001
44,Non Partisan,1344
29,Democrat,1277
38,Non Partisan,1545
5,Democrat,926
53,Non Partisan,300
