iso_calendar_week,party,count
50,Republican,1932
9,Republican,1600
37,Republican,4657
39,Non Partisan,7531
48,Non Partisan,1089
29,Democrat,3624
12,Non Partisan,1356
28,Non Partisan,2770
1,Republican,1389
40,Democrat,19427
39,Democrat,11285
35,Democrat,6060
40,Non Partisan,11740
10,Republican,1597
21,Republican,2902
17,Republican,2148
4,Democrat,1897
5,Democrat,1992
14,Republican,1879
13,Republican,1851
39,Republican,8154
27,Republican,2289
42,Democrat,4123
40,Republican,11583
19,Democrat,3333
36,Non Partisan,3354
3,Non Partisan,1088
5,Republican,1925
30,Republican,2661
45,Republican,2772
51,Republican,2027
33,Democrat,4949
20,Republican,2675
41,Republican,3621
34,Republican,3419
49,Republican,2140
25,Republican,2609
31,Republican,3077
32,Republican,3062
7,Republican,1427
42,Republican,3972
34,Non Partisan,3310
16,Non Partisan,1535
18,Republican,2672
48,Democrat,1526
28,Republican,2593
37,Non Partisan,4062
42,Non Partisan,2884
24,Republican,2727
4,Non Partisan,1278
49,Non Partisan,1554
17,Democrat,2230
48,Republican,1518
22,Democrat,2561
33,Republican,3652
21,Democrat,3048
37,Democrat,6513
47,Republican,1891
38,Democrat,7381
47,Democrat,1949
38,Republican,5692
22,Republican,2162
36,Democrat,5195
44,Democrat,3230
43,Non Partisan,2080
26,Republican,2586
15,Republican,1852
35,Republican,4736
52,Republican,1553
33,Non Partisan,3880
52,Democrat,1603
12,Republican,1736
19,Republican,2746
7,Non Partisan,1029
2,Non Partisan,1091
46,Republican,2038
4,Republican,1611
29,Republican,2510
23,Democrat,3162
20,Democrat,2565
36,Republican,3778
3,Republican,1812
45,Democrat,3466
44,Republican,2650
31,Non Partisan,3305
30,Democrat,3585
35,Non Partisan,4268
46,Non Partisan,1510
23,Non Partisan,2295
6,Republican,1576
23,Republican,2759
32,Democrat,4385
22,Non Partisan,1818
26,Non Partisan,2745
25,Non Partisan,2584
43,Republican,2600
11,Republican,1781
8,Republican,1380
47,Non Partisan,1383
41,Non Partisan,2805
45,Non Partisan,2175
41,Democrat,3965
44,Non Partisan,1952
38,Non Partisan,4955
15,Democrat,2034
1,Non Partisan,925
26,Democrat,3620
19,Non Partisan,2573
17,Non Partisan,1723
34,Democrat,4581
50,Non Partisan,1385
28,Democrat,3627
51,Non Partisan,1415
11,Non Partisan,1313
3,Democrat,1622
7,Democrat,1618
49,Democrat,2288
14,Non Partisan,1323
30,Non Partisan,2826
9,Democrat,1874
27,Democrat,2608
43,Democrat,3323
13,Democrat,2074
11,Democrat,1910
29,Non Partisan,2842
18,Democrat,2933
2,Republican,1832
20,Non Partisan,1979
32,Non Partisan,3291
21,Non Partisan,2591
5,Non Partisan,1412
51,Democrat,2084
16,Republican,1806
31,Democrat,4027
14,Democrat,2117
2,Democrat,1725
24,Democrat,3173
10,Democrat,2013
15,Non Partisan,1418
10,Non Partisan,1331
52,Non Partisan,1153
12,Democrat,1804
1,Democrat,1376
46,Democrat,2427
25,Democrat,3182
53,Republican,809
16,Democrat,2185
50,Democrat,2238
8,Democrat,1527
18,Non Partisan,1963
6,Non Partisan,1182
6,Democrat,1816
9,Non Partisan,1168
27,Non Partisan,2104
8,Non Partisan,1026
24,Non Partisan,2230
13,Non Partisan,1399
53,Democrat,946
53,Non Partisan,607
