iso_calendar_week,party,count
38,Republican,13036
41,Non Partisan,56539
24,Democrat,19877
27,Democrat,20065
51,Democrat,14650
51,Republican,5549
25,Democrat,22857
41,Democrat,99952
30,Democrat,21368
12,Non Partisan,11169
50,Non Partisan,11506
11,Democrat,16537
13,Democrat,18496
8,Democrat,14626
32,Democrat,28214
39,Democrat,51369
45,Republican,15953
42,Democrat,37460
48,Democrat,13683
21,Democrat,17223
23,Democrat,20727
40,Non Partisan,34117
37,Democrat,37407
17,Democrat,19317
29,Non Partisan,12147
29,Democrat,19548
45,Non Partisan,23736
35,Democrat,22680
42,Republican,10913
41,Republican,27344
48,Republican,6045
46,Democrat,18240
19,Democrat,17945
40,Democrat,62186
31,Democrat,21875
38,Non Partisan,23967
47,Democrat,15284
3,Democrat,16967
2,Non Partisan,10188
1,Democrat,11106
50,Democrat,16647
3,Non Partisan,11313
18,Democrat,16900
6,Democrat,15736
24,Republican,6753
1,Non Partisan,7714
45,Democrat,69877
4,Republican,5228
4,Democrat,13132
38,Democrat,48052
33,Non Partisan,21232
53,Democrat,3396
46,Non Partisan,9845
31,Republican,6945
15,Democrat,18499
43,Democrat,19671
28,Democrat,25960
34,Democrat,25541
44,Democrat,17742
26,Democrat,22421
22,Non Partisan,10792
5,Democrat,14858
42,Non Partisan,20663
22,Democrat,18321
21,Non Partisan,11346
19,Non Partisan,14195
33,Democrat,41997
49,Democrat,17931
35,Non Partisan,13140
51,Non Partisan,9581
49,Non Partisan,12732
12,Democrat,16008
7,Non Partisan,10019
37,Non Partisan,18718
26,Non Partisan,12363
36,Democrat,24140
20,Democrat,18275
6,Non Partisan,9991
39,Republican,16671
7,Democrat,14814
18,Non Partisan,12760
39,Non Partisan,28269
8,Non Partisan,9473
2,Democrat,15165
15,Non Partisan,14372
32,Non Partisan,15449
43,Non Partisan,11570
9,Democrat,15628
16,Non Partisan,12648
9,Non Partisan,10557
10,Democrat,14453
2,Republican,5983
10,Republican,5787
40,Republican,17988
13,Republican,6958
14,Republican,5831
30,Republican,6707
14,Democrat,16424
34,Non Partisan,14490
36,Non Partisan,14179
24,Non Partisan,12183
16,Democrat,18121
10,Non Partisan,10567
20,Non Partisan,12862
31,Non Partisan,12853
47,Non Partisan,10270
52,Democrat,9996
3,Republican,6276
13,Non Partisan,13155
17,Non Partisan,13904
23,Republican,6971
27,Republican,6478
29,Republican,6841
25,Non Partisan,13943
21,Republican,6146
48,Non Partisan,9427
28,Republican,7840
44,Republican,6093
50,Republican,6893
23,Non Partisan,12907
52,Non Partisan,7190
26,Republican,7331
47,Republican,6314
20,Republican,6345
33,Republican,11774
15,Republican,6564
5,Republican,5725
11,Non Partisan,11260
28,Non Partisan,13443
4,Non Partisan,9101
9,Republican,5632
1,Republican,4442
34,Republican,8339
27,Non Partisan,11222
37,Republican,10239
17,Republican,6752
44,Non Partisan,9791
30,Non Partisan,12636
5,Non Partisan,9821
7,Republican,5511
6,Republican,5482
32,Republican,8133
18,Republican,6743
35,Republican,7073
12,Republican,5911
36,Republican,7711
46,Republican,6188
25,Republican,7181
14,Non Partisan,11644
53,Non Partisan,2312
19,Republican,7448
22,Republican,5829
8,Republican,5012
49,Republican,7976
43,Republican,6203
52,Republican,3754
11,Republican,5779
16,Republican,6086
53,Republican,1251
