iso_calendar_week,party,count
3,Democrat,8854
51,Democrat,13832
18,Republican,5548
28,Non Partisan,4837
18,Democrat,9110
30,Democrat,11159
41,Democrat,32135
49,Democrat,11109
10,Democrat,8485
42,Democrat,32632
26,Republican,9980
23,Republican,4174
41,Republican,20765
37,Democrat,12664
18,Non Partisan,3062
1,Non Partisan,2787
52,Republican,8570
42,Republican,21890
20,Non Partisan,1256
9,Republican,5022
24,Democrat,13177
11,Non Partisan,3697
33,Republican,7003
49,Non Partisan,5838
6,Non Partisan,3813
4,Republican,5822
8,Democrat,7517
1,Republican,3778
13,Non Partisan,3988
38,Non Partisan,7869
43,Non Partisan,8319
40,Non Partisan,11681
24,Republican,10625
29,Non Partisan,4986
16,Republican,6167
50,Republican,11085
25,Republican,11563
39,Democrat,19187
24,Non Partisan,6409
35,Republican,8685
8,Republican,5459
37,Non Partisan,6090
11,Republican,6903
37,Republican,8706
27,Republican,8387
42,Non Partisan,14518
21,Republican,3219
36,Republican,9532
15,Republican,5404
36,Non Partisan,6420
17,Republican,7405
27,Non Partisan,6122
6,Democrat,8476
26,Non Partisan,6984
47,Republican,1955
36,Democrat,12455
27,Democrat,12019
51,Republican,10802
34,Republican,7549
1,Democrat,5602
31,Democrat,10632
22,Republican,3015
38,Republican,11298
40,Republican,14924
5,Democrat,7217
16,Democrat,7993
10,Republican,6508
39,Non Partisan,9385
13,Republican,6901
4,Non Partisan,4108
13,Democrat,8900
32,Non Partisan,5139
47,Non Partisan,873
15,Democrat,7922
34,Democrat,10818
8,Non Partisan,3436
25,Democrat,15686
6,Republican,5908
23,Non Partisan,2322
32,Republican,6840
20,Republican,2304
52,Democrat,11572
14,Democrat,11070
28,Republican,6400
19,Republican,1170
2,Non Partisan,3248
50,Democrat,12558
31,Non Partisan,4909
29,Republican,6719
49,Republican,10344
22,Democrat,3503
3,Non Partisan,4828
25,Non Partisan,7758
22,Non Partisan,1759
12,Democrat,8896
35,Democrat,11937
14,Republican,7910
2,Republican,4729
14,Non Partisan,4519
30,Non Partisan,5308
33,Non Partisan,5355
7,Republican,5874
41,Non Partisan,15377
32,Democrat,10558
48,Non Partisan,3644
11,Democrat,9090
48,Democrat,6504
23,Democrat,4997
48,Republican,6891
28,Democrat,10025
50,Non Partisan,6593
16,Non Partisan,3326
29,Democrat,10547
3,Republican,7313
39,Republican,12640
30,Republican,6560
33,Democrat,10887
17,Non Partisan,3415
43,Republican,8622
47,Democrat,1368
12,Republican,6745
31,Republican,6359
7,Democrat,10564
20,Democrat,2720
10,Non Partisan,3460
26,Democrat,14183
40,Democrat,22855
9,Democrat,6846
17,Democrat,10261
2,Democrat,5896
43,Democrat,19009
19,Non Partisan,888
52,Non Partisan,5881
9,Non Partisan,2832
38,Democrat,16209
51,Non Partisan,6928
7,Non Partisan,4314
19,Democrat,1878
21,Democrat,3619
5,Republican,5283
34,Non Partisan,4981
35,Non Partisan,6087
46,Democrat,707
46,Republican,577
4,Democrat,8051
5,Non Partisan,3469
12,Non Partisan,3616
44,Republican,2066
45,Republican,1464
15,Non Partisan,3317
46,Non Partisan,340
21,Non Partisan,1862
44,Democrat,9575
45,Non Partisan,2814
44,Non Partisan,3018
45,Democrat,9038
53,Republican,1317
53,Non Partisan,865
53,Democrat,1764
