iso_calendar_week,party,count
38,Democrat,1533
20,Non Partisan,2111
29,Non Partisan,2392
46,Non Partisan,2225
7,Non Partisan,1963
29,Democrat,1439
49,Non Partisan,6096
8,Non Partisan,1810
22,Non Partisan,2157
52,Republican,350
34,Democrat,1890
14,Non Partisan,2020
31,Democrat,1457
44,Democrat,3091
48,Democrat,1288
1,Non Partisan,2201
27,Non Partisan,2290
34,Non Partisan,3011
33,Republican,484
39,Democrat,1496
46,Republican,377
45,Non Partisan,3699
32,Non Partisan,2873
26,Non Partisan,2052
20,Democrat,1200
10,Non Partisan,1746
21,Non Partisan,2198
19,Republican,339
17,Republican,391
39,Non Partisan,2433
36,Republican,561
36,Democrat,2709
11,Non Partisan,1806
12,Democrat,1148
43,Republican,714
25,Non Partisan,2329
44,Non Partisan,4766
41,Democrat,2115
43,Democrat,2734
30,Non Partisan,2560
3,Non Partisan,1892
43,Non Partisan,4196
3,Democrat,1005
49,Democrat,4615
49,Republican,1106
50,Democrat,1284
35,Non Partisan,3155
30,Republican,487
50,Republican,391
9,Non Partisan,1880
16,Democrat,1273
33,Non Partisan,2984
2,Democrat,1029
42,Non Partisan,2833
1,Democrat,1253
40,Non Partisan,2420
22,Democrat,1189
28,Democrat,1448
15,Republican,359
22,Republican,320
7,Democrat,1143
34,Republican,467
17,Democrat,1170
24,Democrat,1273
23,Non Partisan,2307
42,Democrat,1745
30,Democrat,1532
47,Democrat,1279
13,Non Partisan,2057
9,Democrat,1121
35,Democrat,2185
16,Non Partisan,2193
47,Non Partisan,2311
20,Republican,324
37,Democrat,2423
14,Republican,354
11,Republican,307
19,Democrat,1169
52,Non Partisan,2082
6,Non Partisan,1892
52,Democrat,1118
45,Democrat,2179
12,Non Partisan,1936
36,Non Partisan,3540
38,Non Partisan,2648
23,Democrat,1400
5,Republican,290
7,Republican,343
53,Non Partisan,778
19,Non Partisan,2086
48,Non Partisan,2179
40,Democrat,1420
21,Republican,362
5,Democrat,1020
5,Non Partisan,1752
18,Non Partisan,2110
28,Non Partisan,2336
2,Non Partisan,1812
2,Republican,293
23,Republican,364
12,Republican,313
9,Republican,318
31,Non Partisan,2475
41,Non Partisan,2888
24,Non Partisan,2205
51,Republican,393
33,Democrat,1762
4,Democrat,820
15,Non Partisan,2010
44,Republican,786
4,Non Partisan,1500
51,Democrat,1357
51,Non Partisan,2335
10,Republican,297
17,Non Partisan,2249
37,Non Partisan,3209
24,Republican,306
29,Republican,410
18,Democrat,1194
50,Non Partisan,2139
45,Republican,552
37,Republican,488
26,Democrat,1169
14,Democrat,1141
46,Democrat,1341
6,Democrat,1108
13,Democrat,1194
27,Democrat,1370
48,Republican,406
10,Democrat,1010
32,Democrat,1698
42,Republican,490
13,Republican,331
39,Republican,464
31,Republican,437
25,Democrat,1276
53,Democrat,453
47,Republican,410
15,Democrat,1174
21,Democrat,1198
8,Democrat,1006
8,Republican,285
26,Republican,326
40,Republican,437
4,Republican,232
27,Republican,343
41,Republican,490
25,Republican,353
28,Republican,394
6,Republican,312
16,Republican,334
18,Republican,329
11,Democrat,1077
32,Republican,491
3,Republican,276
35,Republican,504
1,Republican,306
53,Republican,123
38,Republican,461
