iso_calendar_week,party,count
25,Republican,8875
46,Republican,5787
46,Non Partisan,6793
16,Republican,3689
14,Non Partisan,3990
9,Non Partisan,4451
26,Republican,11800
26,Non Partisan,4082
45,Republican,20107
33,Republican,4705
24,Non Partisan,5319
45,Non Partisan,20425
6,Non Partisan,3581
32,Non Partisan,4312
38,Non Partisan,9292
44,Non Partisan,7256
12,Republican,6992
24,Republican,4608
23,Republican,3203
43,Republican,12876
38,Republican,7737
17,Republican,2774
19,Republican,4290
11,Non Partisan,3961
47,Republican,4128
3,Republican,1976
37,Republican,6539
42,Republican,10153
11,Republican,6965
23,Non Partisan,3750
30,Non Partisan,3891
21,Republican,4476
41,Non Partisan,18931
41,Republican,16841
37,Non Partisan,7688
35,Republican,4348
50,Republican,3679
33,Non Partisan,5764
28,Republican,5627
42,Non Partisan,10292
40,Non Partisan,13325
47,Non Partisan,4812
7,Non Partisan,3971
21,Democrat,1098
16,Non Partisan,4123
12,Non Partisan,4092
19,Non Partisan,5290
49,Republican,3133
4,Republican,2189
7,Republican,2991
15,Non Partisan,4062
8,Non Partisan,3367
43,Non Partisan,12585
22,Republican,7409
40,Republican,11702
20,Democrat,757
34,Republican,3539
27,Republican,5386
39,Non Partisan,13851
23,Democrat,922
4,Non Partisan,3180
39,Democrat,4332
20,Republican,3588
27,Non Partisan,3498
8,Republican,2152
39,Republican,11211
43,Democrat,3314
17,Non Partisan,3343
13,Republican,6025
34,Non Partisan,4523
25,Non Partisan,5027
51,Non Partisan,3913
38,Democrat,2751
2,Non Partisan,3252
45,Democrat,6199
37,Democrat,2325
6,Republican,2429
44,Republican,7276
46,Democrat,1129
52,Non Partisan,2646
10,Republican,3722
2,Republican,2383
40,Democrat,3646
32,Republican,3301
49,Non Partisan,3760
35,Non Partisan,5055
22,Non Partisan,6894
36,Non Partisan,6230
20,Non Partisan,4619
30,Republican,3859
35,Democrat,1292
14,Republican,4778
48,Non Partisan,4166
22,Democrat,1829
11,Democrat,937
50,Non Partisan,4443
47,Democrat,933
12,Democrat,884
21,Non Partisan,4609
25,Democrat,1312
29,Non Partisan,7848
5,Non Partisan,6268
28,Non Partisan,7371
15,Republican,4394
29,Republican,6192
26,Democrat,1009
31,Non Partisan,4775
42,Democrat,2949
13,Democrat,782
41,Democrat,4972
31,Republican,4201
34,Democrat,1051
18,Republican,2502
13,Non Partisan,4202
1,Republican,1905
1,Democrat,436
10,Non Partisan,4938
3,Non Partisan,2967
32,Democrat,1059
3,Democrat,467
9,Republican,3372
51,Republican,2977
18,Democrat,721
49,Democrat,790
51,Democrat,824
15,Democrat,798
53,Non Partisan,905
44,Democrat,2007
18,Non Partisan,3445
31,Democrat,1096
29,Democrat,1814
1,Non Partisan,2719
5,Republican,3641
9,Democrat,850
33,Democrat,1343
36,Republican,5168
19,Democrat,1412
14,Democrat,805
27,Democrat,791
52,Republican,1904
30,Democrat,875
36,Democrat,1688
7,Democrat,800
2,Democrat,643
16,Democrat,962
24,Democrat,1091
8,Democrat,556
48,Republican,4059
53,Republican,707
6,Democrat,588
53,Democrat,257
50,Democrat,900
4,Democrat,505
17,Democrat,726
28,Democrat,1784
52,Democrat,607
10,Democrat,986
5,Democrat,1347
48,Democrat,668
